Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000241860,AL627309.5,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000237491,LINC01409,0.00034993909943690913,-1.7233324993422823,0.6478738679305686,0.0019944301336131906,1.4308074785532572,1,0.0019153828365990797,1.5512625738408357,0.9203739840925763
ENSG00000228794,LINC01128,0.0013997563977476365,-0.5940494823973168,0.9886457438809212,0.0023933161603358283,0.6531998998897048,1,0.0019153828365990797,0.8991858772611412,1
ENSG00000230368,FAM41C,0.0010498172983107274,2.0840224227153215,0.6146607962915488,0,-1.5691925214467428,1,0,1.3586174958984394,1
ENSG00000272438,AL645608.6,0.002799512795495273,1.2539474241576336,0.6825618961859616,0.0003988860267226381,-2.0286241400840392,1,0.0038307656731981594,1.621651901732231,0.6914691967253729
ENSG00000230699,AL645608.2,0.00034993909943690913,-0.5009400780058346,1,0.0007977720534452762,1.0157699792744133,1,0,1.3586174958984394,1
ENSG00000241180,AL645608.4,0.0006998781988738183,1.6689849234364775,0.7847879719569609,0,-1.154155022167899,1,0,1.7736549951772833,1
ENSG00000223764,LINC02593,0.00034993909943690913,-0.9159775772846785,0.9886457438809212,0.0011966580801679142,1.4308074785532572,1,0,1.0366894010110759,1
ENSG00000187634,SAMD11,0.013997563977476367,-0.20228176244131912,0.9930762279464164,0.017152099149073438,0.3356502455129178,1,0.011492297019594479,-0.22634500482271758,1
ENSG00000188976,NOC2L,0.02869500615382655,0.6261718398975047,0.5574627396726096,0.017949871202518713,-0.6002194170673674,1,0.021069211202589876,-0.056420003380405426,1
ENSG00000187961,KLHL17,0.00034993909943690913,-1.5009400780058346,0.9090244375795261,0.0015955441068905524,1.1677730727194628,1,0.0019153828365990797,1.7736549951772833,0.8150267453041191
ENSG00000187583,PLEKHN1,0.0013997563977476365,0.8209880168815271,0.9150796544295687,0.0003988860267226381,-1.154155022167899,1,0.0019153828365990797,1.7736549951772833,0.8653444283364192
ENSG00000272512,AL645608.7,0.0010498172983107274,1.0840224227153215,0.9150796544295687,0.0003988860267226381,-0.5691925214467428,1,0,1.0366894010110759,1
ENSG00000188290,HES4,0.01679707677297164,0.4892789012015806,0.8001144355201989,0.013562124908569695,-0.11233484647327163,1,0.0038307656731981594,-1.43145943472733,0.5422525943068833
ENSG00000187608,ISG15,0.0066488428893012735,0.23602551616037104,1,0.005584404374116933,-0.18586388189523717,1,0.0057461485097972395,0.2711546546480985,1
ENSG00000188157,AGRN,0.00804859928704891,0.5815220821861384,0.8246526805215113,0.003988860267226381,-1.0166514984179633,1,0.011492297019594479,1.0785095767057031,0.6269313875409886
ENSG00000131591,C1orf159,0.005249086491553637,-0.7739585724122504,0.7123066518306735,0.0083766065611754,0.36667714113354233,1,0.01340767985619356,1.1491641302694884,0.5642729559210576
ENSG00000285812,AL390719.3,0.00034993909943690913,-0.5009400780058346,1,0.0003988860267226381,-0.1541550221678989,1,0.0019153828365990797,2.7736549951772833,0.6574104470930398
ENSG00000162571,TTLL10,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000078808,SDF4,0.023795858761709823,0.12645768903571764,1,0.021539845443022457,-0.12768281080670807,1,0.022984594039188958,0.11654270870029126,1
ENSG00000176022,B3GALT6,0.011897929380854912,0.6897434836032748,0.6862799215178301,0.007578834507730123,-0.4951919400029663,1,0.0057461485097972395,-0.3962700062650306,1
ENSG00000160087,UBE2J2,0.015397320375224002,0.2904733001827484,0.9152532533831456,0.01236546682840178,-0.26963223958783455,1,0.01340767985619356,0.1106899824548524,1
ENSG00000230415,LINC01786,0,-1.5009400780058346,0.9801749863901623,0.0003988860267226381,0.4308074785532572,1,0.0019153828365990797,3.3586174958984394,0.5642729559210576
ENSG00000162572,SCNN1D,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000131584,ACAP3,0.0017496954971845458,-0.6529431714508842,0.9150796544295687,0.0031910882137811047,0.7933775579379656,1,0.0019153828365990797,0.5512625738408357,1
ENSG00000169972,PUSL1,0.00804859928704891,0.4990599219941654,0.9123900582227296,0.006382176427562209,-0.12558586997112808,1,0.0019153828365990797,-0.9633105989889232,0.78141857358407
ENSG00000127054,INTS11,0.015047381275787093,0.4141710244076524,0.9024253921608395,0.011567694774956503,-0.27701176995343246,1,0.009576914182995399,-0.24624456226042302,1
ENSG00000224051,CPTP,0.00419926919324291,0.614537139414101,0.9150796544295687,0.0031910882137811047,-0.09970723814552152,1,0,-1.0336999268803213,0.904810582891469
ENSG00000107404,DVL1,0.002099634596621455,0.5694492498855634,0.9537831209307249,0.0015955441068905524,-0.05461934861698481,1,0,-0.10081412273885881,1
ENSG00000175756,AURKAIP1,0.1266779539961611,0.4079390706961381,0.7162346714322864,0.106901455161667,-0.0826926596112747,1,0.04022303956858068,-1.4834470804468132,0.34262765683444446
ENSG00000221978,CCNL2,0.005249086491553637,-0.5009400780058346,0.9150796544295687,0.006382176427562209,-0.005291636253415888,1,0.01340767985619356,1.3586174958984385,0.43950644069273337
