Feature,Normalized.Dispersion
Non-Targeting-5,-1
Non-Targeting-7,0
Non-Targeting-8,-1.4435761983027806
APH1A-1,-0.592956482376353
APH1A-2,6.863684821693421
CDKN3-1,0
CDKN3-2,0.6479943335991865
EZR-1,1
EZR-2,-1.7314045633564394
GRB2-1,-4.314304440801707
GRB2-2,0
GSK3A-1,0.8569199709435901
GSK3A-2,0
HRAS-1,-1.5447809784566644
HRAS-2,7.277416400467213
JUN-1,1.0532771410283894
JUN-2,1
PPIB-1,0
PPIB-2,-0.7639484693095155
SNRNP70-1,-1
SNRNP70-2,0
SNRNP40-1,-1
SNRNP40-2,-3.979585701237922
PPP2CA-1,0
PPP2CA-2,-1.9217987534402716
ATF4-1,3.497837033737054
ATF4-2,-0.1592248890313367
BAZ1B-1,0.6471033259350127
BAZ1B-2,0.3442993078084844
BRD4-1,1.2360515306904845
BRD4-2,-1.2914835614285483
CAMLG-1,0.9573251323976145
CAMLG-2,-2.9737276490938442
CSNK2A1-1,0
CSNK2A1-2,0.4397750950147525
CTCF-1,15.450339787900875
CTCF-2,1
CTNNB1-1,-1.4698613079921048
CTNNB1-2,-0.3515244037917386
DHX9-1,1.6484755962082613
DHX9-2,0
EIF4EBP1-1,-1.0084392758846024
EIF4EBP1-2,0.2685954366435606
ELOF1-1,1.6648268608370134
ELOF1-2,3.119695552938301
H2AFY-1,-1
H2AFY-2,-1
KDM1A-1,-0.6471033259350127
KDM1A-2,0
LMNA-1,3.045698249045318
LMNA-2,-5.35173485572158
MBNL1-1,1.7256804811486128
MBNL1-2,0
MORF4L1-1,1.645894250368983
MORF4L1-2,1
NOC2L-1,-0.4538140528997046
NOC2L-2,-6.394633317127587
PAIP2-1,-0.1819412456152991
PAIP2-2,0.7639484693095155
RBBP4-1,-0.3541057496310151
RBBP4-2,0.29879510229925027
RBM25-1,2.85134615860256
RBM25-2,1.3528966740649873
SET-1,-6.307263576473588
SET-2,-0.18973899676268674
SMARCD1-1,0
SMARCD1-2,0.5018430086339823
SRPK1-1,-1
SRPK1-2,2.3595228479625328
SRRT-1,0.9838705279762157
SRRT-2,3.1346332850089373
SUZ12-1,5.096796222611976
SUZ12-2,3.6229525200066535
TPR-1,-4.380446365396062
TPR-2,-3.5834894568549878
TRA2B-1,-1.2435888696201742
TRA2B-2,0.45521902154333566
UBE2N-1,-1
UBE2N-2,-1
UBXN1-1,0.3515244037917386
UBXN1-2,-0.2685954366435606
EZH2-1,-2.8221731549297053
EZH2-2,13.265240407104901
ACE2-1,-1.3520056664008135
ACE2-2,0.038874857508895216
TMPRSS2-1,-0.6479943335991865
TMPRSS2-2,2.5068907662813995
RAB1A-2,0
RAB1A-3,2.933428105553833
DPP4-1,-4.99052094085151
DPP4-2,0.35410574963101693
HDAC1-1,-0.45521902154333566
HDAC1-2,-1
