PC,Proportion.Variance.Explained
1,0.01736165957076565
2,0.0130236086823625
3,0.012747679870290391
4,0.012690468199347264
5,0.01258778300704232
6,0.012444002874362148
7,0.012325139596125521
8,0.012211151525788872
9,0.012197711282472982
10,0.012129284958879325
