PC,Non-Targeting-5,Non-Targeting-7,Non-Targeting-8,APH1A-1,APH1A-2,CDKN3-1,CDKN3-2,EZR-1,EZR-2,GRB2-1,GRB2-2,GSK3A-1,GSK3A-2,HRAS-1,HRAS-2,JUN-1,JUN-2,PPIB-1,PPIB-2,SNRNP70-1,SNRNP70-2,SNRNP40-1,SNRNP40-2,PPP2CA-1,PPP2CA-2,ATF4-1,ATF4-2,BAZ1B-1,BAZ1B-2,BRD4-1,BRD4-2,CAMLG-1,CAMLG-2,CSNK2A1-1,CSNK2A1-2,CTCF-1,CTCF-2,CTNNB1-1,CTNNB1-2,DHX9-1,DHX9-2,EIF4EBP1-1,EIF4EBP1-2,ELOF1-1,ELOF1-2,H2AFY-1,H2AFY-2,KDM1A-1,KDM1A-2,LMNA-1,LMNA-2,MBNL1-1,MBNL1-2,MORF4L1-1,MORF4L1-2,NOC2L-1,NOC2L-2,PAIP2-1,PAIP2-2,RBBP4-1,RBBP4-2,RBM25-1,RBM25-2,SET-1,SET-2,SMARCD1-1,SMARCD1-2,SRPK1-1,SRPK1-2,SRRT-1,SRRT-2,SUZ12-1,SUZ12-2,TPR-1,TPR-2,TRA2B-1,TRA2B-2,UBE2N-1,UBE2N-2,UBXN1-1,UBXN1-2,EZH2-1,EZH2-2,ACE2-1,ACE2-2,TMPRSS2-1,TMPRSS2-2,RAB1A-2,RAB1A-3,DPP4-1,DPP4-2,HDAC1-1,HDAC1-2
1,-0.0568466624099167,-0.1381720370134658,-0.09543429479636534,-0.12629140889274487,0.014252200869037635,-0.22966451031649715,-0.16848105081403486,0.007815686826207108,-0.018933451147466997,-0.16287451530374036,-0.07479395800730328,-0.010867084243480851,-0.028870053126790887,0.00761922474027783,0.04013657888035239,-0.05408580845990161,-0.07109183803438059,-0.12963955538553254,-0.14727337392873452,0.019013714453100468,-0.09472875427218254,-0.17834187464842544,-0.4120820625878139,-0.06092107998777879,-0.04780922825461494,-0.017846385056807412,0.020350774329593552,0.02167064340307387,0.004157889425906618,0.03900209247839933,-0.024699799783393313,-0.021859857330941843,-0.09124668561688337,0.008699739963477685,0.0011759019931185234,-0.012030046704192313,-0.04161007829869872,-0.02141834942426259,0.01134409213240978,-0.031206207920265273,0.01167513513400029,-0.06455848932141582,-0.041435810514010366,-0.2200117661945104,0.044780737143740146,-0.12522845935116006,-0.07849945006444105,-0.00847639110586182,0.011951792389785162,0.000031983692086300604,-0.23055064518393295,-0.012430345142157637,-0.05874133329235243,0.09253994071871131,-0.02435963570106317,-0.05744346507299901,-0.12812154864461422,-0.2735038408788714,-0.03730757776977362,-0.057963274443227276,-0.17316189201042906,0.033878290734138464,-0.02367770175808197,-0.21932766007482593,-0.04723362105613109,-0.010120710480134928,0.03905772254559973,0.007007213895892476,-0.06127422794072508,-0.06195021012857536,-0.044025194902798916,0.014835831296501092,0.06194299555589278,-0.04002291482502202,-0.1374863096582615,-0.03139868026942883,0.015529176604754667,0.03275320282935444,-0.017362284511000897,0.006550658073145297,-0.17817895217393134,-0.1974061562876464,0.014082358678556929,-0.08730174857701828,-0.23433574237855795,-0.1130751613122852,0.004028189741002923,0.017720043844118204,-0.03317689608722144,-0.19022946907499264,-0.013978546715512088,-0.02033802006270045,-0.0919030606722624
2,-0.03566903396864227,0.016193453867967614,-0.06685513786301797,0.02692952707673912,-0.03928042431445372,-0.021728524453512234,-0.12626050299124203,-0.12913491691707277,0.0319823189944942,0.011336982371204438,-0.06466382505055725,-0.03534355469463655,-0.061279689018422984,0.014312908664363808,0.10151600751244216,0.19254438253456244,0.02658360335821549,-0.07260960659991514,-0.1822134295063442,0.16903125379673867,0.2563095020988529,0.10905178433312522,-0.20718518845662925,0.1011413283356747,0.1432894388347994,0.09050169989368478,0.009261560586448612,0.04841597287713064,-0.09858246691862117,-0.07779097735519631,0.03732282425776405,0.03647620695296231,0.1619193766976167,0.0034218735969250846,0.12171037354725314,-0.0472825969883539,-0.028137318817903705,0.12990610368325597,-0.07968029533865427,0.07728200654616524,0.04758597760104127,0.15006628125279886,-0.031289043707474755,0.09715642937822158,-0.01257782317655243,0.2110080513830957,-0.05905153003130969,0.1794776244307111,0.042190700413375366,-0.04026425972380431,-0.01968570206662384,0.07448592323572364,-0.007945367933341357,0.016762308729776996,0.057261065855234945,-0.11054427479590667,-0.1223227246335041,0.02780450663277191,0.1428431125925289,-0.032819532956235,0.02810050604833071,-0.025209844419849057,0.019725004464857747,0.13623876117880598,0.08872260888994507,-0.017444468661227144,-0.058553648519880167,0.11594671811261921,0.07725946535021945,-0.1044491036994605,0.07851553300578558,0.07333489306009576,-0.07340602682822218,0.1723882367781108,-0.0485869070081313,-0.10198801691851424,0.020478011018885276,-0.049910273400779054,0.14335470197172817,0.046734251697619786,-0.11733470088468695,0.16772317336931714,-0.16302158809889064,-0.1434388487919101,0.030564083334175728,-0.03764060690936402,-0.11350912724296684,0.03745374763205788,0.02422326493205888,-0.23147268666017487,-0.0842732627429747,0.21916258790824675,0.1974383908110463
3,0.13787306669666605,0.05790051121805039,0.15796979933204355,-0.11671293300284274,0.005003908024760149,0.24172520336446748,-0.10152216438827892,-0.020421382907591604,-0.03920741565088865,0.09054986994824293,-0.11710315478346577,0.091751127472553,0.08477511936999646,0.11878824508393086,-0.01904865507709106,-0.11620779794965737,-0.24630159951072772,0.09053116491632163,-0.09404541317023608,-0.008893309194967385,-0.29965573599327927,0.0029767327704604512,-0.07659121774440698,-0.2419636175121297,0.15323680043610796,-0.03489090819883256,0.047043404123716964,-0.022219017278318164,-0.05880825891613779,-0.11912522735634203,0.025453162849529518,0.03464018332096069,0.18365130272022026,-0.007503350819968517,-0.006098714581014661,0.03465655418786986,0.04018498692859183,0.048679437416736374,-0.10332833855459314,-0.06017950901392249,0.11775949876309566,0.08227025966698484,-0.00035666155706173477,-0.043171336539368214,-0.06414201691039847,0.16634305520405876,0.12033398018873556,0.03222054119257577,-0.02118238254037672,0.08709425333861472,-0.06516994844419108,-0.07356519068509286,0.0843748641854391,0.014739001945375328,-0.020414801318949793,0.013141604773245682,-0.24271366254863255,-0.030401434517895225,-0.02174532330394894,0.02653697297755674,-0.046694891265474055,-0.11564224145324825,0.07039302072394996,-0.04754238791873019,-0.26014641954103607,0.008026084086333828,0.043715396464608605,-0.08003132446399361,0.05648293106297857,-0.0027032328981502598,0.06189510812957462,-0.07324266640219139,0.0462650276150356,0.19557649625435491,0.07306139333203325,-0.0305630275583655,-0.07417172277648082,-0.12793635160882774,0.02641402284791412,0.087934042862498,0.12870987200661407,0.05436710328249052,0.1615782534608515,0.08679751930156586,0.09149678487411829,-0.005482237721630347,-0.10122838341050677,0.055445431243095866,-0.17419738343415403,-0.08246627606089292,-0.044905553340103516,0.016078603786945162,-0.10827248834794585
4,0.008563943491030812,-0.14595208986202296,0.034044424609332324,-0.05052276295969818,-0.24448750076198136,0.21443055633540722,0.11290819127819353,-0.01664657713044822,-0.07482840918338421,0.044095439611421094,0.02826565207700068,0.2274792574809274,-0.019773709796314844,0.06449926622538511,-0.06880850613866356,0.014169212131294464,0.043440060831377164,-0.14023531296273345,-0.04602421913490483,-0.048771421500066116,-0.007203149789129677,0.05074908894536763,0.001952798799042826,0.26608966957339697,0.3049082547022819,0.06822035443613478,0.13000456386844167,-0.04153023151479579,-0.052238162894296856,0.051839638752968875,0.06839456634666148,0.09685440088585494,0.0038756097020418915,0.013668714031291216,0.016402850920590437,0.3346386712809524,0.07077966348408125,-0.07799096096670316,0.05980741269052174,0.07653742562096053,0.06455433020136524,0.013758696069647015,-0.14135198055305948,-0.012123403086050893,0.1254060148255799,-0.06507937859879973,0.00794924081279544,-0.18098589321393582,-0.07527533862161453,0.03816854651615737,-0.059492252109082315,-0.0021724834184989952,0.23485777961077786,-0.0687750940790673,-0.024289322125976655,-0.10048803826228088,0.10170009746390864,-0.0027250906986087996,0.03047989814117884,0.02874824326138982,-0.026540933441791384,0.09425365331876187,-0.022778119235400004,0.04636201433674311,0.03716187737947747,-0.1226479984908685,-0.007169051437784354,0.028366363679343188,-0.08910803561807716,0.058332875989856925,-0.16822610595728513,-0.10659054011897066,0.21501625110199232,-0.010875595090021938,0.051536520193257045,-0.0908008200305257,-0.05542613060993093,-0.009398084374390252,0.022952546845566253,-0.008382347173797579,-0.08606141881722942,-0.0419258173333065,0.04100917194901536,-0.17516126184355638,-0.16895818248284591,-0.016456422437336745,-0.056793568710219525,0.05492148471637561,-0.04866757417891165,0.07707533718258314,-0.008517721664543374,0.14049062861943773,-0.038701091637530514
5,0.15428276727438145,-0.1460988344821976,0.1516468454277044,0.05259178646879676,-0.09732417054478809,-0.1195471166014197,0.02923719117445899,-0.10990372801087918,0.14550207235254853,-0.09474764007510075,0.005796886565542974,-0.07369385940887195,0.01933602117370731,0.043956761315116784,-0.19444899974413224,-0.08972965999010521,0.08820911928714911,-0.01145923601180678,-0.06510848999427328,-0.041459269408442884,-0.1438915135305642,0.07052077282370757,-0.034780262691909945,-0.11421463501790681,-0.01925188284108153,-0.029042050611559612,0.0786511097290187,0.0032773257562581444,0.006462425657871783,-0.04343700712151443,0.17049037303929443,0.2269649313891416,0.14580066419567136,0.05228366778962712,0.07030616664421294,-0.1750554731423236,-0.06875584903601485,0.1746742386095408,-0.05734572965710335,0.011520497477977057,0.054544019083793825,-0.18615023412662624,-0.004045466790879771,-0.09660712868513407,0.0728907260267485,-0.08217477893443755,-0.13894471048427734,-0.08897687858548382,-0.06783962474633093,-0.01981722136654465,0.07049122213484056,-0.007759545097126623,-0.1809903440562193,-0.05221163006652565,0.25708760311795636,-0.04305294353953501,0.13083697171446018,-0.0027073097368918455,0.04076277033788027,0.016415562255354992,-0.03757476419079119,-0.04223559329658439,0.1524436579699325,0.012907586901998658,0.07463469379411611,-0.13660504415024877,-0.07339467765460199,0.14539655085067157,-0.17271306815679763,0.11214632613662087,-0.1300342214267903,-0.07761700464769002,-0.03326617577156352,0.09076320272371491,0.31444250975873655,0.06371905005076549,0.040394967690142516,0.1416522301422589,0.15292585529993022,-0.03736207721519838,0.0008629503263033056,-0.02972811548811992,0.06840622329895168,0.04687505785678652,0.05713347883025538,0.0013918562513486024,-0.03463742607923946,-0.07506492094596937,0.04414471434001936,-0.08438059962456398,-0.07888341846741109,-0.02228104253471384,0.11299245716009533
6,0.043043694942392186,-0.047054102287550234,-0.14239499699405744,-0.1619278488421749,0.11428554174486717,0.12819258069920444,-0.045496444016986375,-0.01511529695463564,-0.023341344905666733,0.10995404160858495,-0.18672735546737768,0.08088137726703076,-0.06265799934378392,-0.13006110992551526,0.037997016697228575,-0.007634936602827279,-0.09032034198233503,-0.010975307851754972,0.005040642409790492,0.001734200564289812,-0.0589259820118846,0.060661403683475994,0.020284921605636812,0.1749398462075263,-0.08463702930423904,-0.06434997020297197,0.05325559016313399,-0.26376713500881965,0.07973955383429311,0.017907875126920676,-0.002853239068747619,-0.07921679697384941,-0.10317196519744039,-0.04024924563857345,-0.054639970506151395,0.15454926325562163,-0.03876769059555324,0.07509580106865801,-0.008796152107504257,0.02693557524505877,-0.12828146855680242,0.04378337461336596,0.011688663588163294,-0.10545131634055653,-0.0018715200789198086,0.0685917088992593,0.008049330854112096,0.1640644667606823,0.01858366452717704,-0.037608291707517554,-0.18573779566314674,0.07872156345483391,0.017158337893301363,0.08910132799045395,0.15296898124151906,-0.28786727611832985,0.10475653982584965,-0.013188435480513976,-0.08741676387175991,-0.16131869640184437,0.019133439216967876,-0.034868715551440554,0.11982656292012799,0.05114678848010874,0.04051331205196547,0.09079026745959927,-0.02811949824616009,0.13079847474707515,-0.12944259025328783,0.1253453279092455,0.1685924525995831,0.07274623350685201,0.04835709253534656,-0.0916990635019704,0.1121323184854375,-0.20403682377168608,-0.10266500474014052,0.13882057585299026,-0.04133796720163846,-0.04124114547466039,0.0567358808103674,-0.08209263308476066,0.07131207794859135,0.18254401191319355,0.2146809212916263,-0.06870081904155628,0.018577278775440794,-0.05433810651983567,0.1610936389000317,-0.015860950646716068,-0.20886400977114192,-0.05478363061399069,0.04406399893197698
7,0.11399436069984947,0.21421815492559404,-0.08539071702149607,-0.06182143997608555,0.05924187352109523,-0.08554261659460477,-0.018562871023399288,0.07866256380431119,0.16235421959225663,0.022000895108518007,-0.09956954059056897,-0.09842393456271528,-0.2229810889865986,-0.03879872931488689,-0.10641162017724927,0.04624071250204371,-0.08366636890740148,0.0447371378781442,0.1300463499107682,0.020207436999162838,-0.15599654409266545,0.09127767399850235,0.15937148520613448,-0.12584956422423058,-0.0019902009880707564,0.20171600765484154,0.12524507529444928,-0.18145635120906375,0.035096451682753986,-0.10042796862357564,0.15873151060189092,0.019992201251167914,-0.1267173406464338,-0.1124931982892409,-0.08139299551375079,-0.048514267570979416,0.0161779737457011,0.14030375541899068,0.13552907877233342,0.014644633200723116,-0.04149257782351815,0.1440752866985496,-0.06445386099380786,0.18594975777246006,-0.06106313896719936,-0.2000659407116327,-0.06731875434475969,-0.016559502500633955,-0.01233885904691368,0.12807398878395004,-0.014761570504079278,0.07417135155212923,0.15183369481708187,0.15128197789724604,-0.08783488819534081,0.16478134812823644,-0.03845804370834253,-0.02318281634884821,-0.0843526752732305,-0.08935724916038788,0.062482996255773866,-0.08338833665399367,0.0565104471447125,0.02177765802569652,-0.18349027045253735,-0.08283228171098464,-0.05316620705842642,0.12535825943575557,-0.1030517382917783,-0.09824903807812654,-0.12344955357684846,0.08439151573905106,0.1281146759892317,0.044108279329601756,-0.02399856582463213,0.0919039612484863,-0.08712887328690322,0.028348007000912848,0.023442429761204274,-0.020525270760649767,-0.16637026876825423,-0.09013473437284616,-0.1310221968295439,-0.13646427963475236,-0.042163695277752884,0.012507869804162358,0.04410780160214701,0.008361434218167558,-0.004917659534426541,-0.05636303710122845,-0.0002002070315313255,0.16500611112429495,0.09963646640364451
8,-0.027371847224565163,-0.06950027133120752,-0.14492398202042925,-0.11952706677492221,-0.02300084415699911,0.15370139677335695,-0.00024369907607252377,-0.03708173845216826,0.12885085923567258,-0.12818335378045864,0.03194192350762639,-0.06590718406053293,-0.06269962404962734,0.1452789679792704,0.0033158852056310935,-0.09182790441775461,-0.034788191937940756,-0.048257173245857585,-0.08826519712652095,0.01597562754020442,-0.021888980541245245,-0.24886942790734123,0.0456583573090807,0.18478973635894924,-0.17773249484925577,0.10258250331335983,-0.12745320333186522,-0.14192976315870348,-0.13064814180498652,-0.03203900936555506,-0.06888260172413087,0.0011286927896467902,0.13503658066550525,0.08696764580231595,0.12197214518050334,0.17598633953987672,-0.15531130555212558,0.09337131763805852,-0.012839668105625661,0.037384544205958714,0.04684066128063845,0.08760422901154194,0.016051390886252306,-0.04381424304879971,0.07484124377652143,0.06479182035953777,-0.03396848869786957,0.06601279166504176,0.1208374320373948,0.07279631565659309,-0.005382624547420516,-0.05641766699001829,0.09170709508210045,0.025042494744639307,0.051606339599070926,0.1129787089090595,0.016048930286144517,0.08366310501307647,-0.23302373847576713,0.15795212781381485,-0.06537701186248408,0.09151175535808656,0.023171429506161936,0.01680961919818654,0.01446311529417364,-0.06745601507561892,0.05548599945614912,0.162755239623553,-0.07774792344685591,-0.0993022767208763,0.10265287924582489,0.0902778714172655,0.11510963980604352,0.07820449617488869,0.04707376782182989,0.24853189812214627,0.29314379904694476,-0.1220919510307649,0.009947455825322592,-0.08737989840822191,-0.0563053663938774,-0.02237642162299256,-0.02774576674729587,0.13322927308720584,0.07494039778213193,0.16981137243084912,0.06304475039324162,-0.04765236651288859,-0.07070073400297207,-0.0032317698581837903,0.19077970925133997,-0.051371710969240494,0.03761749866663123
9,0.07507255515632233,-0.06646209935994893,0.15063266289635785,0.05982520075623474,0.053857546680486715,0.01963609263569202,0.07315234096098473,0.05644631352046241,-0.11894111697612589,-0.03657818177324417,-0.1708814311766675,-0.039778519469759945,-0.07068133698626784,0.08907049771332823,0.1158320014577331,0.09035368028320986,-0.1529461315404333,-0.005862906006456559,-0.014187573214218756,0.17034626951412785,-0.05360437782892794,-0.08736608246656337,-0.08739696556120703,-0.02739703843101058,-0.047434242313113245,0.2918112553252869,-0.12818409708745016,-0.011387526758125013,-0.18974138541101682,-0.03756520549953142,-0.09727492902159743,-0.04168060162905378,0.08966376051532851,-0.11923168809801368,0.035268353452123875,-0.01776587233114733,0.04966288311259385,-0.006556419873059849,0.10233980856461607,-0.004786342810864726,-0.11139983949054073,-0.11586749056262745,-0.07909494953921585,0.15910663415116644,-0.055989942432329284,0.012860013131394774,-0.0396671648684352,0.05349182141392567,0.03420541679921673,0.08946947094492232,-0.045804788945192916,-0.06882379135154228,-0.10743182455471863,0.08094046825671171,-0.08787297376518997,0.10830578612471536,0.157515721368141,0.09190679939330484,0.05826394760197025,0.12174947350525923,-0.035664438376145725,0.008052897519030006,-0.20592971548751168,0.037247185213202874,0.19671790460518093,0.13592172223344445,-0.05131141658099889,0.11336947564176222,0.17754791752877372,0.11149535234876957,-0.10444721352551807,-0.014398896384661446,0.16578483892239554,0.05476744091621428,0.21129849414176616,-0.01237990743028236,-0.1695795258316977,0.07103969375481915,-0.0886896800655767,-0.10238118591109745,0.05738314398300851,-0.07626599824284704,0.0513364302925665,-0.01706155986754207,-0.030869092805084514,-0.11220339178028732,-0.11641725938167516,-0.21110001084891059,0.1293609317344532,-0.07708379177624863,0.019351661165357213,-0.027720692898334426,-0.1793189475068083
10,-0.2563358319397687,0.10170688734609609,0.2979770656819144,-0.12439286123558815,0.19462777651796814,0.058904524476750625,-0.11385914479155954,0.0316972523721091,-0.04009464809592316,-0.046293643228967694,0.13247758166026696,-0.08415456923122525,-0.01817972230985503,-0.031943528390916284,-0.15300866094282067,-0.05964293220271949,-0.17890356883998929,-0.005684106547389046,0.034384883253165466,0.17451926639808474,-0.11214969957225396,0.06310195290912952,0.006271688619661643,0.0434912395114504,0.09446555337392827,-0.02763625148775294,0.021030562321216424,0.050967102270136726,-0.006065106380868844,0.10849335578534114,0.12890925436270906,0.07144441969037793,-0.009223962934412386,-0.09740521218251828,0.09447192744748299,0.017630752156266794,0.018377635228895493,-0.1397842942837997,0.0844703538180377,0.12507053837146168,0.28059914309493694,-0.1232795787127355,-0.16013238205839309,-0.004507810372150347,-0.008313546290440654,-0.029138844989878624,-0.03808742155695598,0.10909842794415633,0.10235662491287381,-0.31795977236407347,-0.050127218908944414,0.12992423060117286,-0.02752199227419841,-0.0574997202819021,-0.03293424734336255,-0.0070360128670504994,0.041610532422680216,0.10718620665553062,0.0008725357586733534,0.0825754737611613,0.1127703376388613,0.1383745005506651,-0.10639650229440074,-0.06975503277796427,-0.1235397655252347,0.15071328117470156,-0.0280014929536135,0.08194666368152434,-0.09234795620986835,-0.061904431430838014,0.08691490984005343,0.04142307083350292,0.01405470528918458,0.09630717366097596,0.07890555405668587,-0.018490972916625666,0.1366294134623992,0.10954932190924502,-0.12518861836861703,-0.007826049485073832,-0.029023416526000954,-0.0666901943337132,-0.1524954529615956,0.0010577107067108202,0.0006930050640798692,-0.00985517146152003,0.023892818278227076,0.08968653101703984,0.04905551829438627,0.04941154025823239,-0.0516770917059255,-0.04248037262130226,0.059321059528827276
