Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000241860,AL627309.5,0,0.5486700552091417,1,0.0006782583438136355,2.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0,2.3256262923377946,1,0,3.5096521964124126,1
ENSG00000237491,LINC01409,0,-1.4513299447908583,0.9723873570851563,0.0006782583438136355,-0.2265533789030023,1,0.0011220160507079706,0.6780262593581572,1,0.00204326699309292,1.3248002736318742,1,0,1.4108249549864311,1,0.003751703863229456,2.3256262923377955,1,0.004054490879704455,2.702297274354809,0.8473335081690118
ENSG00000228794,LINC01128,0,-2.0362924455120144,0.9531102619046571,0.001356516687627271,-0.15616405101160424,1,0.004488064202831882,1.8073092763031244,1,0.00306490048963938,1.1548752721895612,1,0.0037963627558653345,1.9513933363491347,1,0.001875851931614728,0.8661946737004964,1,0,0.9246896956912565,1
ENSG00000230368,FAM41C,0.0013341092845193187,2.1336325559302995,0.9723873570851563,0,-0.4191984568453986,1,0,0.4853811814157609,1,0.00102163349654646,1.7398377729107164,1,0,2.410824954986431,1,0,1.3256262923377946,1,0,2.5096521964124126,1
ENSG00000272438,AL645608.6,0.0013341092845193187,-0.18829553895706397,1,0.0020347750314409067,0.41087654171228927,1,0.003366048152123912,1.3154561799734497,1,0.00102163349654646,-0.13463134500542395,1,0.0037963627558653345,1.9513933363491347,1,0,-0.25933620838336147,1,0.004054490879704455,2.050220577775116,0.9893019088929018
ENSG00000230699,AL645608.2,0,-0.4513299447908583,1,0,-0.4191984568453986,1,0.0011220160507079706,1.9004186806946048,1,0.00102163349654646,1.7398377729107164,1,0,2.410824954986431,1,0.001875851931614728,2.7406637916166385,1,0,2.5096521964124126,1
ENSG00000241180,AL645608.4,0,-0.03629244551201438,1,0,-0.004160957566554657,1,0.002244032101415941,4.070343682136919,1,0,0.7398377729107164,1,0,2.825862454265275,1,0,1.7406637916166385,1,0,2.9246896956912565,1
ENSG00000223764,LINC02593,0.0006670546422596593,0.5486700552091417,1,0.0006782583438136355,0.5808015431546014,1,0,0.16345308652839918,1,0.00204326699309292,2.3248002736318742,1,0,2.0888968600990694,1,0,1.0036981974504329,1,0,2.187724101525051,1
ENSG00000187634,SAMD11,0.012674038202933528,-0.2791489694081779,1,0.01356516687627271,-0.15616405101160336,1,0.01683024076061956,0.2565624909198805,1,0.02247593692402212,0.7608993884385473,1,0.007592725511730669,-0.4636441629297101,1,0.015006815452917825,0.13799928916202386,1,0.012163472639113364,0.06670870056368461,1
ENSG00000188976,NOC2L,0.031351568186203986,0.6100705998732847,0.9408222942607698,0.02577381706491815,0.20799227926505637,1,0.025806369166283323,0.21236268700934513,1,0.0153245024481969,-0.6293960367550016,1,0.026574539291057343,0.36643083562797774,1,0.00937925965807364,-1.1555003973988214,1,0.012163472639113364,-0.5778106448379265,1
ENSG00000187961,KLHL17,0.0006670546422596593,-0.03629244551201438,1,0.001356516687627271,0.8438359489883958,1,0,-0.3219737406418428,1,0.00204326699309292,1.5878346794656686,1,0.0037963627558653345,2.825862454265275,1,0,0.5182713702801909,1,0,1.7022972743548088,1
ENSG00000187583,PLEKHN1,0,-1.2586848668484638,1,0.0006782583438136355,-0.004160957566554657,1,0.003366048152123912,2.485381181415762,1,0.00102163349654646,0.7398377729107164,1,0,1.6034700329288274,1,0,0.5182713702801909,1,0.004054490879704455,2.9246896956912565,0.8002896641125322
