Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000241860,AL627309.5,0.0006231263626453493,2.4152858740421657,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000237491,LINC01409,0.0018693790879360478,1.093357779154804,1,0,-1.4612019630670474,0.9880445763872923,0.0010956319475294632,0.6375237242775889,1,0,-0.4032248936913341,1,0,1.364251327659355,1,0.0038636713679068833,2.372128474424197,1,0.004194093875094342,2.753033140624323,0.8596821152101726,0,9.167073223922259,1
ENSG00000228794,LINC01128,0.0012462527252906986,-0.32167972012404,1,0,-2.0461644637882035,0.973073635218088,0.004382527790117853,1.7668067412225543,1,0.003595580466469917,1.4268501048663538,1,0.0036807552675045463,1.9048197090220587,1,0.0019318356839534416,0.9126968557868995,1,0,0.9754255619607708,1,0,8.582110723201103,1
ENSG00000230368,FAM41C,0,-0.5847141259578343,1,0.0006636622971786043,0.9538355362117965,1,0.0010956319475294632,1.8599161456140365,1,0.001198526822156639,2.01181260558751,1,0,2.364251327659355,1,0,1.372128474424196,1,0,2.560388062681927,1,0,10.167073223922259,1
ENSG00000272438,AL645608.6,0.0012462527252906986,-0.32167972012404,1,0.0013273245943572086,-0.19816755723325308,1,0.004382527790117853,1.7668067412225543,1,0.001198526822156639,0.1373434876713695,1,0.0036807552675045463,1.9048197090220587,1,0,-0.21283402629696013,1,0.004194093875094342,2.1009564440446287,1,0,8.582110723201103,1
ENSG00000230699,AL645608.2,0,-0.5847141259578343,1,0,-0.4612019630670474,1,0.0010956319475294632,1.8599161456140365,1,0.001198526822156639,2.01181260558751,1,0,2.364251327659355,1,0.0019318356839534416,2.78716597370304,1,0,2.560388062681927,1,0,10.167073223922259,1
ENSG00000241180,AL645608.4,0,-0.16967662667899042,1,0,-0.04616446378820349,1,0.0021912638950589264,4.029841147056349,1,0,1.0118126055875099,1,0,2.779288826938199,1,0,1.7871659737030399,1,0,2.975425561960771,1,0,10.582110723201103,1
ENSG00000223764,LINC02593,0.0006231263626453493,0.41528587404216566,1,0.0006636622971786043,0.5387980369329526,1,0,0.12295055144783085,1,0.002397053644313278,2.596775106308666,1,0,2.0423232327719933,1,0,1.0502003795368342,1,0,2.2384599677945634,1,0,9.845145129034897,1
ENSG00000187634,SAMD11,0.014331906340843033,-0.06584081569445033,1,0.012609583646393481,-0.289020987684367,1,0.01753011116047141,0.32288812195658245,1,0.02277200962097614,0.7689560816913463,1,0.0073615105350090925,-0.5102177902567853,1,0.013522849787674093,-0.002910956922727692,1,0.012582281625283024,0.11744456683319804,1,0,5.675220127592585,1
ENSG00000188976,NOC2L,0.024301928143168623,0.09335777915480392,1,0.03318311485893021,0.7354899479380501,0.8163507067159083,0.01972137505553034,-0.22605707749581594,1,0.016779375510192946,-0.46211858274490325,1,0.025765286872531823,0.3198572083009017,1,0.013522849787674093,-0.6722656449342566,1,0.012582281625283024,-0.5270747785684131,1,0,5.048132151198753,1
ENSG00000187961,KLHL17,0.0018693790879360478,1.4152858740421657,1,0.0006636622971786043,-0.04616446378820349,1,0,-0.36247627572241115,1,0.001198526822156639,1.0118126055875099,1,0.0036807552675045463,2.779288826938199,1,0,0.5647735523665922,1,0,1.7530331406243231,1,0,9.359718301864655,1
ENSG00000187583,PLEKHN1,0.0012462527252906986,0.67832027987596,1,0,-1.2685568851246511,1,0.0021912638950589264,1.707913052168987,1,0.001198526822156639,1.0118126055875099,1,0,1.5568964056017514,1,0,0.5647735523665922,1,0.004194093875094342,2.975425561960771,0.8123294073583001,0,9.359718301864655,1
ENSG00000272512,AL645608.7,0.0006231263626453493,0.41528587404216566,1,0.0013273245943572086,1.5387980369329526,0.9965203079496234,0.0010956319475294632,1.4448786463351926,1,0,0.2748470114213042,1,0,2.0423232327719933,1,0,1.0502003795368342,1,0,2.2384599677945634,1,0,9.845145129034897,1
ENSG00000188290,HES4,0.011216274527616288,-0.4028758029720212,1,0.017918882023822316,0.48817196386298445,1,0.01753011116047141,0.42381703080736344,1,0.019176429154506226,0.5757134907808359,1,0.0036807552675045463,-1.0280660951194047,1,0.009659178419767208,-0.36483711974200883,1,0.004194093875094342,-0.8319293600968338,1,0,5.757682287784558,1
ENSG00000187608,ISG15,0.0031156318132267466,-0.9997516252366774,1,0.008627609863321855,0.7611904582694002,0.9880445763872923,0.004382527790117853,-0.2775873781358982,1,0.01078674139940975,1.111348279138424,1,0.0036807552675045463,0.19432632621704293,1,0.0038636713679068833,-0.17219204179961345,1,0.008388187750188684,1.0160675464581166,1,0,6.95761985829331,1
ENSG00000188157,AGRN,0.00872376907703489,0.6217367515095926,1,0.0039819737830716255,-0.7413098822597828,0.9965203079496234,0.010956319475294633,0.9974196693639721,1,0.002397053644313278,-1.0661899064137632,1,0.01104226580251364,1.1547979620304059,1,0.0019318356839534416,-0.9132737444380519,1,0.012582281625283024,1.3509346970529768,0.8371878879915191,0,6.845145129034898,1
ENSG00000131591,C1orf159,0.013085653615552336,1.35115553662245,1,0.005309298377428834,-0.4612019630670483,1,0.00328689584258839,-0.9126733582828903,1,0.001198526822156639,-1.829489648393431,1,0.01104226580251364,1.0066993230412722,1,0.005795507051860325,0.014576469806113046,1,0.016776375500377368,1.5603880626819269,0.6843266473960506,0,6.707641605284962,1
ENSG00000285812,AL390719.3,0,-0.5847141259578343,1,0.0006636622971786043,0.9538355362117965,1,0,0.4448786463351926,1,0.001198526822156639,2.01181260558751,1,0,2.364251327659355,1,0,1.372128474424196,1,0.004194093875094342,3.975425561960771,0.6543392932304742,0,10.167073223922259,1
ENSG00000162571,TTLL10,0.0006231263626453493,2.4152858740421657,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000078808,SDF4,0.019316917242005828,-0.2851538440989261,1,0.02389184269842975,0.11889478248229235,1,0.027390798688236583,0.3639586509516253,1,0.02397053644313278,0.14360247814305094,1,0.018403776337522732,-0.0731539846479432,1,0.02125019252348786,0.002894664758477994,1,0.025164563250566048,0.3565157293162766,1,0,5.090257626871429,1
ENSG00000176022,B3GALT6,0.009970021802325589,0.14519671067442186,1,0.011945921349214876,0.50132333151429,1,0.010956319475294633,0.3497214132948532,1,0.007191160932939834,-0.2682953136052255,1,0.0036807552675045463,-0.44310359439824865,1,0.005795507051860325,-0.3827590277392714,1,0.008388187750188684,0.3639908498784239,1,0,6.334183209757518,1
ENSG00000160087,UBE2J2,0.01620128542877908,0.3372833620408926,1,0.016591557429465106,0.38125675994647246,1,0.012051951422824097,-0.1400838543859635,1,0.009588214577253113,-0.46211858274490236,1,0.018403776337522732,0.6638116095182633,1,0.01159101410372065,-0.08730314421310048,1,0.004194093875094342,-0.7971639419361569,1,0,5.792033792575335,1
ENSG00000230415,LINC01786,0,-0.16967662667899042,1,0,-0.04616446378820349,1,0,0.8599161456140365,1,0.001198526822156639,2.596775106308666,1,0,2.779288826938199,1,0,1.7871659737030399,1,0.004194093875094342,4.560388062681927,0.5904739997330648,0,10.582110723201103,1
ENSG00000162572,SCNN1D,0.0006231263626453493,1.4152858740421657,1,0,-0.04616446378820349,1,0,0.8599161456140365,1,0,1.0118126055875099,1,0,2.779288826938199,1,0.0019318356839534416,3.372128474424196,1,0,2.975425561960771,1,0,10.582110723201103,1
ENSG00000131584,ACAP3,0.004361884538517445,1.4152858740421648,1,0.0006636622971786043,-1.2685568851246511,0.9880445763872923,0.0010956319475294632,-0.36247627572241115,1,0.004794107288626556,1.4592715825587312,1,0.0036807552675045463,1.5568964056017514,1,0,-0.5347621211843219,1,0,0.6534974670734073,1,0,8.260182628313741,1
ENSG00000169972,PUSL1,0.009970021802325589,0.8588925255177813,1,0.007300285268964647,0.21686994204558996,1,0.004382527790117853,-0.4426466244063949,1,0.009588214577253113,0.7223059883925247,1,0,-0.9933006769587278,1,0,-1.9854235301938878,1,0.004194093875094342,0.23845996779456424,1,0,6.809521219304176,1
ENSG00000127054,INTS11,0.009970021802325589,-0.45144759509436927,1,0.01393690824075069,0.16533964140550772,1,0.018625743108000876,0.6840663102146189,1,0.014382321865879668,0.2528207050913043,1,0.014723021070018185,0.4767260569177685,1,0.009659178419767208,-0.2327335837346638,1,0.008388187750188684,-0.10257695004050227,1,0,5.881671005060012,1
ENSG00000224051,CPTP,0.0031156318132267466,0.0002483747633217348,1,0.00464563608025023,0.731443114875348,1,0.005478159737647316,1.0298411470563487,1,0.002397053644313278,-0.06618990641376321,1,0,-0.02806609511940472,1,0.0019318356839534416,0.050200379536834205,1,0,0.1680706399031653,1,0,7.7747558011435,1
ENSG00000107404,DVL1,0.0012462527252906986,-0.16967662667899042,1,0.003318311485893021,1.5387980369329517,0.9880445763872923,0,-1.0145529723021038,1,0.003595580466469917,1.596775106308666,1,0,0.9048197090220587,1,0,-0.08730314421310048,1,0,1.1009564440446287,1,0,8.707641605284962,1
ENSG00000175756,AURKAIP1,0.12026338799055242,0.1728483728154857,1,0.11879555119497016,0.1449547599232317,1,0.14133652123130078,0.43657932311670633,1,0.0922865653060612,-0.28524082066082324,1,0.036807552675045464,-1.5027465408256502,0.9897394102046796,0.10238729124953241,-0.09939621620112016,1,0.041940938750943416,-1.3066098058030793,0.9431370958668919,0,2.818345069691182,1
ENSG00000221978,CCNL2,0.006231263626453493,0.016736497551891105,1,0.005309298377428834,-0.24547327201161107,1,0.004382527790117853,-0.36247627572241115,1,0.007191160932939834,0.35973590900781627,1,0.014723021070018185,1.5568964056017522,0.9394136389014367,0.005795507051860325,0.20220347298188468,1,0.012582281625283024,1.3904630612396138,0.8226897575800295,0,6.881671005060012,1
ENSG00000224870,MRPL20-AS1,0.0037387581758720955,0.7632091774624721,1,0.0019909868915358128,-0.26855688512465115,1,0.0021912638950589264,0.12295055144783085,1,0.003595580466469917,0.7894201842510622,1,0,0.276788486409016,1,0.0019318356839534416,0.37212847442419594,1,0.004194093875094342,1.5603880626819269,1,0,8.07961038267192,1
ENSG00000242485,MRPL20,0.0810064271438954,0.0016256493699637886,1,0.09755835768525482,0.3732119712149773,0.9880445763872923,0.11065882670047579,0.5550615640856158,1,0.05872781428567531,-0.5075615535060698,1,0.03312679740754092,-1.1903375240182816,1,0.06375057757046358,-0.3413085842457684,1,0.037746844875849075,-0.9942007889957107,1,0,3.2631913781860793,1
ENSG00000272455,AL391244.2,0,-0.16967662667899042,1,0.0006636622971786043,1.5387980369329526,1,0.0010956319475294632,2.4448786463351926,1,0,1.0118126055875099,1,0,2.779288826938199,1,0,1.7871659737030399,1,0,2.975425561960771,1,0,10.582110723201103,1
ENSG00000179403,VWA1,0.0037387581758720955,0.3157502004912507,1,0.0019909868915358128,-0.6311269645093596,1,0.00328689584258839,0.27495364489288043,1,0.003595580466469917,0.4268501048663538,1,0.0036807552675045463,1.0423232327719933,1,0.0038636713679068833,0.7091634617017677,1,0.008388187750188684,1.8974230499594986,0.8083587369790022,0,7.7747558011435,1
ENSG00000160072,ATAD3B,0,0.41528587404216566,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0.0019318356839534416,4.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000197785,ATAD3A,0.011839400890261637,0.8792329738019564,1,0.007963947566143251,0.06931275363173217,1,0.007669423632706243,0.08732664171710969,1,0.002397053644313278,-1.3418243490271902,1,0.0073615105350090925,0.425651872323499,1,0.009659178419767208,0.530826220443255,1,0,-1.02457443803923,1,0,6.582110723201104,1
