Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000241860,AL627309.5,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000237491,LINC01409,0.00046493795884822435,-1.0110788153835326,0.9714485997846486,0.0018845306434770684,1.1481673907205288,1,0.0009087615794648872,0.31252420940467474,1,0.001949534154594947,1.579167052470888,0.9167744993445741
ENSG00000228794,LINC01128,0.0018597518353928974,0.11820420156143463,1,0.0009422653217385342,-0.9107262983330386,1,0.003635046317859549,1.441807226349641,1,0.001949534154594947,0.9270903558911954,1
ENSG00000230368,FAM41C,0.0009298759176964487,1.381238607395229,0.8970716366612504,0.0004711326608692671,0.24127679511201094,1,0,0.11987913146227847,1,0,1.3865219745284936,1
ENSG00000272438,AL645608.6,0.0032545657119375706,1.4743480117867094,0.7081650828856005,0.0004711326608692671,-1.6331923228041294,1,0.0009087615794648872,-0.33955248717501796,1,0.003899068309189894,1.6495563803622861,0.6850296760488164
ENSG00000230699,AL645608.2,0.00046493795884822435,0.21131360595291682,1,0.0004711326608692671,0.24127679511201094,1,0.0009087615794648872,1.5349166307411224,1,0,1.3865219745284936,1
ENSG00000241180,AL645608.4,0.00046493795884822435,0.7962761066740729,1,0,-0.7587232048879891,1,0.0009087615794648872,2.1198791314622785,1,0,1.8015594738073375,1
ENSG00000223764,LINC02593,0.00046493795884822435,-0.2037238933259271,1,0.0004711326608692671,-0.17376070416683298,1,0.0018175231589297744,2.1198791314622785,1,0,1.06459387964113,1
ENSG00000187634,SAMD11,0.01580789060083963,0.11820420156143463,1,0.01460511248694728,-0.05640375352867455,1,0.01635770843036797,0.1978816434635533,1,0.011697204927569682,-0.1984405261926634,1
ENSG00000188976,NOC2L,0.02975602936628636,0.5898252292066459,0.690460296266255,0.023085500382594087,-0.021757610721782505,1,0.013631423691973307,-0.8343171789245956,1,0.01949534154594947,-0.16527366225746398,1
ENSG00000187961,KLHL17,0,-2.0110788153835326,0.7849077958013904,0.0018845306434770684,1.5632048899993727,1,0.0009087615794648872,0.5349166307411224,1,0.001949534154594947,1.8015594738073375,0.8084757054420306
ENSG00000187583,PLEKHN1,0.0009298759176964487,0.059310512507865454,1,0.0009422653217385342,0.08927370166696136,1,0.0009087615794648872,0.5349166307411224,1,0.001949534154594947,1.8015594738073375,0.8594331515782728
ENSG00000272512,AL645608.7,0.0013948138765446732,1.796276106674073,0.7217989910705674,0.0004711326608692671,-0.17376070416683298,1,0,-0.20204896342508327,1,0,1.06459387964113,1
ENSG00000188290,HES4,0.019527394271625424,0.796276106674072,0.5492737406528461,0.013662847165208747,-0.07422503061591801,1,0.00999637737411376,-0.5046117334455147,1,0.003899068309189894,-1.4035549560972758,0.5360459504013668
ENSG00000187608,ISG15,0.006974069382723365,0.3368444880367756,1,0.0032979286260848696,-1.0806512997753517,1,0.00999637737411376,1.0044019140423428,1,0.005848602463784841,0.2990591332781536,1
ENSG00000188157,AGRN,0.006044193465026917,-0.1512564734317925,1,0.007538122573908274,0.32873963636235004,1,0.003635046317859549,-0.7281177750926702,1,0.011697204927569682,1.1064140553357573,0.6216762308860094
ENSG00000131591,C1orf159,0.004649379588482243,-0.8317551159389698,0.7372110732858506,0.010364918539123876,0.8903696332528828,1,0.003635046317859549,-0.8801208685377206,1,0.013646739082164629,1.1770686088995435,0.562476527317977
