Feature
1,ENSG00000285825
2,ENSG00000128510
3,ENSG00000157343
4,ENSG00000185869
5,ENSG00000240207
6,ENSG00000254560
7,ENSG00000185745
8,ENSG00000144730
9,ENSG00000261560
10,ENSG00000124249
11,ENSG00000107611
12,ENSG00000173013
13,ENSG00000127507
14,ENSG00000188051
15,ENSG00000260448
16,ENSG00000171094
17,ENSG00000227039
18,ENSG00000273162
19,ENSG00000182700
20,ENSG00000109255
21,ENSG00000084628
22,ENSG00000256442
23,ENSG00000272282
24,ENSG00000258744
25,ENSG00000163449
26,ENSG00000123843
27,ENSG00000259692
28,ENSG00000162063
29,ENSG00000163812
30,ENSG00000277775
31,ENSG00000258602
32,ENSG00000128581
33,ENSG00000260352
34,ENSG00000155719
35,ENSG00000182108
36,ENSG00000109805
37,ENSG00000276410
38,ENSG00000176945
39,ENSG00000231903
40,ENSG00000130311
41,ENSG00000197045
42,ENSG00000275964
43,ENSG00000231453
44,ENSG00000154813
45,ENSG00000188112
46,ENSG00000161179
47,ENSG00000166797
48,ENSG00000084774
49,ENSG00000148291
50,ENSG00000250538
51,ENSG00000176946
52,ENSG00000197774
53,ENSG00000103353
54,ENSG00000205456
55,ENSG00000126790
56,ENSG00000143553
57,ENSG00000148229
58,ENSG00000277258
59,ENSG00000038274
60,ENSG00000227543
61,ENSG00000104472
62,ENSG00000149929
63,ENSG00000157240
64,ENSG00000273507
65,ENSG00000155868
66,ENSG00000112742
67,ENSG00000088682
68,ENSG00000119414
69,ENSG00000175634
70,ENSG00000138073
71,ENSG00000131652
72,ENSG00000115461
73,ENSG00000256040
74,ENSG00000171204
75,ENSG00000088356
76,ENSG00000148688
77,ENSG00000188910
78,ENSG00000124374
79,ENSG00000184260
80,ENSG00000132661
81,ENSG00000175581
82,ENSG00000198805
83,ENSG00000156469
84,ENSG00000108590
85,ENSG00000075618
86,ENSG00000117133
87,ENSG00000095906
88,ENSG00000261544
89,ENSG00000118508
90,ENSG00000185808
91,ENSG00000114023
92,ENSG00000170312
93,ENSG00000101363
94,ENSG00000070761
95,ENSG00000169607
96,ENSG00000165959
