Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	(1, 0.0024482174195120704)	(2, 0.006343108768735818)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.010015434898003923)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.00011128260997782137)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.002893347859423356)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.003894891349223748)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	(1, 0.00022256521995564274)	(2, 0.0022256521995564276)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0003338478299334641)	(7, 0.00011128260997782137)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0003338478299334641)	(20, 0.0)	(21, 0.0)	(22, 0.00022256521995564274)	(23, 0.0)	(24, 0.00011128260997782137)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00022256521995564274)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00022256521995564274)	(42, 0.00022256521995564274)	(43, 0.00011128260997782137)	(44, 0.0010015434898003924)	(45, 0.0012241087097560352)	(46, 0.00011128260997782137)	(47, 0.00011128260997782137)	(48, 0.0004451304399112855)	(49, 0.00011128260997782137)	(50, 0.0)	(51, 0.0)	(52, 0.00011128260997782137)	(53, 0.00022256521995564274)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0011128260997782138)	(58, 0.000890260879822571)	(59, 0.00022256521995564274)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0003338478299334641)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0010015434898003924)	(75, 0.0)	(76, 0.00022256521995564274)	(77, 0.0)	(78, 0.0006676956598669282)	(79, 0.0)	(80, 0.0)	(81, 0.00011128260997782137)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.006120543548780175)	(86, 0.0)	(87, 0.00011128260997782137)	(88, 0.0)	(89, 0.0)	(90, 0.0016692391496673207)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	(1, 0.03438547768349541)	(2, 0.016368805670417944)	(3, 0.0)	(4, 0.0)	(5, 0.001538008586482223)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001977439611191429)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	(1, 0.32144379457478456)	(2, 0.00043943102470920647)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0006591465370638098)	(8, 0.0)	(9, 0.0)	(10, 0.002636586148255239)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	(1, 0.0034055904414963508)	(2, 0.002087297367368731)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.009557624787425242)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00010985775617730162)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0010985775617730164)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0035154481976736518)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005492887808865082)	(7, 0.00010985775617730162)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0003295732685319049)	(20, 0.00010985775617730162)	(21, 0.0)	(22, 0.00010985775617730162)	(23, 0.00010985775617730162)	(24, 0.00010985775617730162)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0005492887808865082)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00021971551235460324)	(44, 0.0012084353179503179)	(45, 0.002746443904432541)	(46, 0.0006591465370638098)	(47, 0.00021971551235460324)	(48, 0.0003295732685319049)	(49, 0.00010985775617730162)	(50, 0.0)	(51, 0.00010985775617730162)	(52, 0.00010985775617730162)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0016478663426595247)	(58, 0.0018675818550141277)	(59, 0.00010985775617730162)	(60, 0.00010985775617730162)	(61, 0.0)	(62, 0.00010985775617730162)	(63, 0.0)	(64, 0.00010985775617730162)	(65, 0.00010985775617730162)	(66, 0.00021971551235460324)	(67, 0.0)	(68, 0.00010985775617730162)	(69, 0.0)	(70, 0.00043943102470920647)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0013182930741276195)	(75, 0.0)	(76, 0.0007690042932411115)	(77, 0.0)	(78, 0.0010985775617730164)	(79, 0.0)	(80, 0.0)	(81, 0.00010985775617730162)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.008459047225652227)	(86, 0.0)	(87, 0.00021971551235460324)	(88, 0.0)	(89, 0.0)	(90, 0.0010985775617730164)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	(1, 0.025928020400977365)	(2, 0.0041612872248482195)	(3, 0.0)	(4, 0.0)	(5, 0.0003200990172960169)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001387095741616073)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	(1, 0.2936374985328795)	(2, 0.012270462329680648)	(3, 0.0)	(4, 0.0)	(5, 0.0005334983621600282)	(6, 0.0)	(7, 0.0)	(8, 0.00010669967243200564)	(9, 0.00010669967243200564)	(10, 0.00021339934486401128)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	(1, 0.006722079363216355)	(2, 0.011416864950224603)	(3, 0.00010669967243200564)	(4, 0.00010669967243200564)	(5, 0.0)	(6, 0.00010669967243200564)	(7, 0.008215874777264433)	(8, 0.00010669967243200564)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00010669967243200564)	(21, 0.0)	(22, 0.0)	(23, 0.0010669967243200564)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00010669967243200564)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	(1, 0.002774191483232146)	(2, 0.009602970518880507)	(3, 0.00021339934486401128)	(4, 0.00021339934486401128)	(5, 0.00021339934486401128)	(6, 0.0)	(7, 0.00010669967243200564)	(8, 0.00021339934486401128)	(9, 0.0)	(10, 0.0012803960691840676)	(11, 0.0)	(12, 0.00010669967243200564)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0003200990172960169)	(18, 0.0)	(19, 0.0006401980345920338)	(20, 0.0003200990172960169)	(21, 0.00010669967243200564)	(22, 0.0007468977070240395)	(23, 0.00021339934486401128)	(24, 0.0005334983621600282)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00010669967243200564)	(32, 0.00042679868972802257)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.00010669967243200564)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0005334983621600282)	(42, 0.00021339934486401128)	(43, 0.00021339934486401128)	(44, 0.0012803960691840676)	(45, 0.0022406931210721182)	(46, 0.00021339934486401128)	(47, 0.00042679868972802257)	(48, 0.0010669967243200564)	(49, 0.00021339934486401128)	(50, 0.0)	(51, 0.0)	(52, 0.00021339934486401128)	(53, 0.00042679868972802257)	(54, 0.00010669967243200564)	(55, 0.00010669967243200564)	(56, 0.00021339934486401128)	(57, 0.0003200990172960169)	(58, 0.0010669967243200564)	(59, 0.00042679868972802257)	(60, 0.0)	(61, 0.00010669967243200564)	(62, 0.0)	(63, 0.00010669967243200564)	(64, 0.0)	(65, 0.00010669967243200564)	(66, 0.0003200990172960169)	(67, 0.0)	(68, 0.0)	(69, 0.00021339934486401128)	(70, 0.0010669967243200564)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0010669967243200564)	(81, 0.0003200990172960169)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0020272937762081072)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0033076898453921746)
