Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	(20.0, 3.0)	(21.0, 14.0)	(22.0, 29.0)	(23.0, 61.0)	(24.0, 168.0)	(25.0, 422.0)	(26.0, 1011.0)	(27.0, 2236.0)	(28.0, 3846.0)	(29.0, 5772.0)	(30.0, 8475.0)	(31.0, 12716.0)	(32.0, 21076.0)	(33.0, 30096.0)	(34.0, 39198.0)	(35.0, 73638.0)	(36.0, 238304.0)	(37.0, 461548.0)									
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	(13.0, 8.0)	(14.0, 63.0)	(15.0, 112.0)	(16.0, 94.0)	(17.0, 84.0)	(18.0, 51.0)	(19.0, 66.0)	(20.0, 89.0)	(21.0, 146.0)	(22.0, 327.0)	(23.0, 519.0)	(24.0, 854.0)	(25.0, 1288.0)	(26.0, 1912.0)	(27.0, 2956.0)	(28.0, 4328.0)	(29.0, 6584.0)	(30.0, 9405.0)	(31.0, 13454.0)	(32.0, 19771.0)	(33.0, 30961.0)	(34.0, 54943.0)	(35.0, 130483.0)	(36.0, 474524.0)	(37.0, 145591.0)		
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	(11.0, 1.0)	(12.0, 8.0)	(13.0, 33.0)	(14.0, 0.0)	(15.0, 76.0)	(16.0, 153.0)	(17.0, 270.0)	(18.0, 122.0)	(19.0, 374.0)	(20.0, 807.0)	(21.0, 1320.0)	(22.0, 1155.0)	(23.0, 1044.0)	(24.0, 3423.0)	(25.0, 4852.0)	(26.0, 5229.0)	(27.0, 1669.0)	(28.0, 9690.0)	(29.0, 13916.0)	(30.0, 20062.0)	(31.0, 12707.0)	(32.0, 23836.0)	(33.0, 68694.0)	(34.0, 187846.0)	(35.0, 288630.0)	(36.0, 0.0)	(37.0, 264351.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	(12.0, 1.0)	(13.0, 4.0)	(14.0, 0.0)	(15.0, 20.0)	(16.0, 43.0)	(17.0, 88.0)	(18.0, 64.0)	(19.0, 207.0)	(20.0, 533.0)	(21.0, 1215.0)	(22.0, 1200.0)	(23.0, 1054.0)	(24.0, 3720.0)	(25.0, 6043.0)	(26.0, 7099.0)	(27.0, 2053.0)	(28.0, 13186.0)	(29.0, 19829.0)	(30.0, 28260.0)	(31.0, 14734.0)	(32.0, 35441.0)	(33.0, 86490.0)	(34.0, 185661.0)	(35.0, 250547.0)	(36.0, 0.0)	(37.0, 252776.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	(20.0, 4.0)	(21.0, 11.0)	(22.0, 25.0)	(23.0, 81.0)	(24.0, 204.0)	(25.0, 446.0)	(26.0, 1049.0)	(27.0, 2190.0)	(28.0, 3765.0)	(29.0, 5859.0)	(30.0, 8576.0)	(31.0, 12987.0)	(32.0, 21589.0)	(33.0, 31478.0)	(34.0, 41590.0)	(35.0, 77546.0)	(36.0, 240523.0)	(37.0, 462345.0)									
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	(12.0, 2.0)	(13.0, 10.0)	(14.0, 36.0)	(15.0, 111.0)	(16.0, 108.0)	(17.0, 71.0)	(18.0, 56.0)	(19.0, 65.0)	(20.0, 82.0)	(21.0, 179.0)	(22.0, 359.0)	(23.0, 526.0)	(24.0, 848.0)	(25.0, 1267.0)	(26.0, 1977.0)	(27.0, 3152.0)	(28.0, 4665.0)	(29.0, 7029.0)	(30.0, 9762.0)	(31.0, 14131.0)	(32.0, 20962.0)	(33.0, 32818.0)	(34.0, 58346.0)	(35.0, 134133.0)	(36.0, 475158.0)	(37.0, 144415.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	(11.0, 7.0)	(12.0, 16.0)	(13.0, 49.0)	(14.0, 0.0)	(15.0, 121.0)	(16.0, 275.0)	(17.0, 511.0)	(18.0, 220.0)	(19.0, 743.0)	(20.0, 1733.0)	(21.0, 2652.0)	(22.0, 1949.0)	(23.0, 2263.0)	(24.0, 5906.0)	(25.0, 8195.0)	(26.0, 8089.0)	(27.0, 3275.0)	(28.0, 14997.0)	(29.0, 20184.0)	(30.0, 26182.0)	(31.0, 13064.0)	(32.0, 32210.0)	(33.0, 80057.0)	(34.0, 169539.0)	(35.0, 260843.0)	(36.0, 0.0)	(37.0, 284130.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	(12.0, 2.0)	(13.0, 5.0)	(14.0, 0.0)	(15.0, 13.0)	(16.0, 30.0)	(17.0, 90.0)	(18.0, 71.0)	(19.0, 153.0)	(20.0, 494.0)	(21.0, 958.0)	(22.0, 897.0)	(23.0, 777.0)	(24.0, 3135.0)	(25.0, 5428.0)	(26.0, 7150.0)	(27.0, 1714.0)	(28.0, 14456.0)	(29.0, 24193.0)	(30.0, 37487.0)	(31.0, 23209.0)	(32.0, 46980.0)	(33.0, 119532.0)	(34.0, 207082.0)	(35.0, 228655.0)	(36.0, 0.0)	(37.0, 214699.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	(20.0, 2.0)	(21.0, 10.0)	(22.0, 35.0)	(23.0, 62.0)	(24.0, 202.0)	(25.0, 512.0)	(26.0, 1232.0)	(27.0, 2702.0)	(28.0, 4777.0)	(29.0, 7235.0)	(30.0, 10780.0)	(31.0, 16842.0)	(32.0, 30526.0)	(33.0, 46991.0)	(34.0, 67973.0)	(35.0, 128010.0)	(36.0, 294269.0)	(37.0, 325050.0)									
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	(12.0, 10.0)	(13.0, 53.0)	(14.0, 156.0)	(15.0, 197.0)	(16.0, 254.0)	(17.0, 235.0)	(18.0, 247.0)	(19.0, 302.0)	(20.0, 488.0)	(21.0, 714.0)	(22.0, 1123.0)	(23.0, 1698.0)	(24.0, 2155.0)	(25.0, 2850.0)	(26.0, 4007.0)	(27.0, 5383.0)	(28.0, 7505.0)	(29.0, 10405.0)	(30.0, 14782.0)	(31.0, 20961.0)	(32.0, 31543.0)	(33.0, 49925.0)	(34.0, 88681.0)	(35.0, 189586.0)	(36.0, 436326.0)	(37.0, 67624.0)	
