Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001 - polya	(1, 0.00021971551235460326)	(2, 0.00021971551235460326)	(3, 0.00021971551235460326)	(4, 0.0003295732685319049)	(5, 0.0003295732685319049)	(6, 0.0003295732685319049)	(7, 0.0003295732685319049)	(8, 0.0004394310247092065)	(9, 0.0005492887808865081)	(10, 0.0013182930741276195)	(11, 0.0037351637100282555)	(12, 0.004174594734737462)	(13, 0.00538303005268778)	(14, 0.007250611907701907)	(15, 0.009447767031247941)	(16, 0.010436486836843655)	(17, 0.011644922154793973)	(18, 0.012633641960389687)	(19, 0.01417165054687191)	(20, 0.014501223815403814)	(21, 0.014720939327758418)	(22, 0.01483079708393572)	(23, 0.015050512596290323)	(24, 0.015599801377176831)	(25, 0.015819516889531433)	(26, 0.022630697772524137)	(27, 0.022630697772524137)	(28, 0.022740555528701436)	(29, 0.024168706359006357)	(30, 0.034715050952027315)	(31, 0.24827852896070168)	(32, 0.3171593420838698)	(33, 0.32825497545777726)	(34, 0.34121819068669884)	(35, 0.35352225937855664)	(36, 0.3780205390060949)	(37, 0.405375120294243)	(38, 0.43525642997446906)	(39, 0.4594251363334754)	(40, 0.48238540737453145)	(41, 0.5012809414370273)	(42, 0.5223736306230693)	(43, 0.5420381689788062)	(44, 0.572908198464628)	(45, 0.5978459091168755)	(46, 0.6201470336208676)	(47, 0.6402510030013139)	(48, 0.6618929809682423)	(49, 0.6778223556139511)	(50, 0.6935320147473052)	(51, 0.7075938075379998)	(52, 0.7193485874489711)	(53, 0.7350582465823252)	(54, 0.7521960565459842)	(55, 0.7715310216331893)	(56, 0.7949307236989546)	(57, 0.81547412410411)	(58, 0.8305246367004003)	(59, 0.844586429491095)	(60, 0.8579890757447257)	(61, 0.8765550365386897)	(62, 0.9083039280739299)	(63, 0.9379655222418013)	(64, 0.9568610563042972)	(65, 0.9737791507556016)	(66, 0.9926746848180975)	(67, 1.0122293654176573)	(68, 1.032553050310458)	(69, 1.0535358817403226)	(70, 1.074079282145478)	(71, 1.0893495102541229)	(72, 1.1067070357301365)	(73, 1.1230758414005546)	(74, 1.1368080609227174)	(75, 1.1551543062043266)	(76, 1.1700949610444396)	(77, 1.1854750469092619)	(78, 1.2012945637987933)	(79, 1.2170042229321474)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001 - polyg	(1, 0.12402940672417354)	(2, 0.12479841101741465)	(3, 0.12479841101741465)	(4, 0.12479841101741465)	(5, 0.12479841101741465)	(6, 0.12479841101741465)	(7, 0.12501812652976926)	(8, 0.12545755755447846)	(9, 0.12556741531065577)	(10, 0.12578713082301038)	(11, 0.12600684633536496)	(12, 0.12611670409154227)	(13, 0.12611670409154227)	(14, 0.12611670409154227)	(15, 0.12611670409154227)	(16, 0.12611670409154227)	(17, 0.12611670409154227)	(18, 0.12611670409154227)	(19, 0.12622656184771958)	(20, 0.1264462773600742)	(21, 0.12655613511625147)	(22, 0.12655613511625147)	(23, 0.12655613511625147)	(24, 0.12655613511625147)	(25, 0.12655613511625147)	(26, 0.12688570838478339)	(27, 0.127105423897138)	(28, 0.12941243677686132)	(29, 0.12941243677686132)	(30, 0.12941243677686132)	(31, 0.12941243677686132)	(32, 0.12963215228921593)	(33, 0.12996172555774782)	(34, 0.12996172555774782)	(35, 0.12996172555774782)	(36, 0.12996172555774782)	(37, 0.12996172555774782)	(38, 0.13007158331392513)	(39, 0.13029129882627974)	(40, 0.13029129882627974)	(41, 0.13040115658245705)	(42, 0.13051101433863432)	(43, 0.13051101433863432)	(44, 0.13051101433863432)	(45, 0.13073072985098894)	(46, 0.13073072985098894)	(47, 0.13073072985098894)	(48, 0.13084058760716624)	(49, 0.13095044536334355)	(50, 0.13095044536334355)	(51, 0.13095044536334355)	(52, 0.13095044536334355)	(53, 0.13106030311952085)	(54, 0.13106030311952085)	(55, 0.13128001863187544)	(56, 0.13138987638805275)	(57, 0.13138987638805275)	(58, 0.13160959190040736)	(59, 0.13171944965658466)	(60, 0.13171944965658466)	(61, 0.13182930741276194)	(62, 0.13204902292511655)	(63, 0.13204902292511655)	(64, 0.13215888068129386)	(65, 0.13237859619364847)	(66, 0.13237859619364847)	(67, 0.13259831170600306)	(68, 0.13259831170600306)	(69, 0.13281802721835767)	(70, 0.13281802721835767)	(71, 0.13303774273071228)	(72, 0.1331476004868896)	(73, 0.13336731599924417)	(74, 0.13358703151159879)	(75, 0.1336968892677761)	(76, 0.1336968892677761)	(77, 0.1338067470239534)	(78, 0.13402646253630798)	(79, 0.1342461780486626)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001 - polya	(1, 0.01269726101940867)	(2, 0.025287822366385337)	(3, 0.03713148600633796)	(4, 0.050682344405202674)	(5, 0.061779110338131264)	(6, 0.07255577725376383)	(7, 0.08034485334130025)	(8, 0.08973442451531674)	(9, 0.10189818717256538)	(10, 0.11448874851954205)	(11, 0.1251587157627426)	(12, 0.13486838595405512)	(13, 0.14564505286968768)	(14, 0.15802221487180035)	(15, 0.16975917883932096)	(16, 0.18213634084143362)	(17, 0.19376660513652222)	(18, 0.20368967467269875)	(19, 0.21756063208885948)	(20, 0.23153828917745223)	(21, 0.2426350551103808)	(22, 0.2551189167849255)	(23, 0.2688831745286542)	(24, 0.28179383489292686)	(25, 0.2937441982053115)	(26, 0.3087888520182243)	(27, 0.32148611303763297)	(28, 0.3365307668505458)	(29, 0.3554166088710108)	(30, 0.37568954663309184)	(31, 0.42381109889992635)	(32, 0.44717832716253564)	(33, 0.46574407016570457)	(34, 0.4846299121861696)	(35, 0.5066100447071628)	(36, 0.530830870349228)	(37, 0.550036811386989)	(38, 0.5741509373566224)	(39, 0.5976248652916636)	(40, 0.6202451958472488)	(41, 0.6401980345920338)	(42, 0.6648456589238271)	(43, 0.6893865835831884)	(44, 0.7149945049668698)	(45, 0.739322030281367)	(46, 0.7642897536304564)	(47, 0.7903244737038657)	(48, 0.8163591937772751)	(49, 0.8412202174539324)	(50, 0.8619199539057415)	(51, 0.8822995913402546)	(52, 0.9064137173098878)	(53, 0.9306345429519531)	(54, 0.9545352695767224)	(55, 0.9760886034079875)	(56, 0.9987089339635727)	(57, 1.0213292645191578)	(58, 1.040855304574215)	(59, 1.059847846267112)	(60, 1.081187780753513)	(61, 1.1039148109815302)	(62, 1.1233341513641553)	(63, 1.1457410825748764)	(64, 1.1686815121477576)	(65, 1.193329136479551)	(66, 1.2162695660524323)	(67, 1.2395300946426095)	(68, 1.2620437255257626)	(69, 1.285517653460804)	(70, 1.307604485654229)	(71, 1.3345995027795265)	(72, 1.360420823508072)	(73, 1.3850684478398652)	(74, 1.4127036629997547)	(75, 1.439378581107756)	(76, 1.4647731031465734)	(77, 1.4917681202718707)	(78, 1.5184430383798722)	(79, 1.5461849532121936)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001 - polyg	(1, 0.20038198482730657)	(2, 0.2047566713970188)	(3, 0.2049700707418828)	(4, 0.20529016975917883)	(5, 0.20582366812133887)	(6, 0.20603706746620287)	(7, 0.2066772655007949)	(8, 0.20731746353538694)	(9, 0.20753086288025097)	(10, 0.20795766156997897)	(11, 0.20870455927700302)	(12, 0.20902465829429903)	(13, 0.20923805763916306)	(14, 0.20945145698402706)	(15, 0.20966485632889106)	(16, 0.20966485632889106)	(17, 0.20966485632889106)	(18, 0.20977155600132308)	(19, 0.20998495534618708)	(20, 0.2100916550186191)	(21, 0.2101983546910511)	(22, 0.2101983546910511)	(23, 0.21051845370834713)	(24, 0.21094525239807513)	(25, 0.21147875076023517)	(26, 0.21158545043266716)	(27, 0.21190554944996318)	(28, 0.2123323481396912)	(29, 0.21243904781212322)	(30, 0.21286584650185125)	(31, 0.21297254617428324)	(32, 0.21307924584671525)	(33, 0.21361274420887527)	(34, 0.2139328432261713)	(35, 0.2142529422434673)	(36, 0.21435964191589932)	(37, 0.21489314027805934)	(38, 0.21521323929535535)	(39, 0.21553333831265137)	(40, 0.21585343732994738)	(41, 0.21649363536453944)	(42, 0.21724053307156346)	(43, 0.2176673317612915)	(44, 0.2178807311061555)	(45, 0.21841422946831554)	(46, 0.21873432848561156)	(47, 0.21926782684777157)	(48, 0.22022812389965962)	(49, 0.2215085199688437)	(50, 0.22225541767586773)	(51, 0.2233224144001878)	(52, 0.22428271145207584)	(53, 0.2252430085039639)	(54, 0.22588320653855593)	(55, 0.22737700195260402)	(56, 0.22791050031476404)	(57, 0.22887079736665208)	(58, 0.22961769507367613)	(59, 0.2312181901601562)	(60, 0.23228518688447627)	(61, 0.2331387842639323)	(62, 0.23399238164338834)	(63, 0.2348459790228444)	(64, 0.23580627607473245)	(65, 0.23740677116121253)	(66, 0.2382603685406686)	(67, 0.23964746428228464)	(68, 0.24103456002390072)	(69, 0.24359535216226885)	(70, 0.24498244790388493)	(71, 0.246582942990365)	(72, 0.24871693643900514)	(73, 0.2497839331633252)	(74, 0.2512777285773733)	(75, 0.25298492333628536)	(76, 0.2543720190779014)	(77, 0.2558658144919495)	(78, 0.2575730092508616)	(79, 0.25992040204436573)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001 - polya	(1, 0.010442850708373374)	(2, 0.022889884886030526)	(3, 0.033332735594403896)	(4, 0.04525235306961795)	(5, 0.05727745388532062)	(6, 0.06708740455076227)	(7, 0.07394382168252257)	(8, 0.0836482890074756)	(9, 0.09482952309926931)	(10, 0.10548334048861993)	(11, 0.11613715787797055)	(12, 0.12520872515999185)	(13, 0.13733930931618316)	(14, 0.14999731017481754)	(15, 0.1608620942451454)	(16, 0.17446944516817736)	(17, 0.1853342292385052)	(18, 0.1973593300542079)	(19, 0.2117050643606602)	(20, 0.22457403190027184)	(21, 0.2355442993110883)	(22, 0.24704198342434788)	(23, 0.2593835342615164)	(24, 0.2706702516937987)	(25, 0.2819569691260811)	(26, 0.29725205349693096)	(27, 0.3112813377819174)	(28, 0.32731480553618764)	(29, 0.3461963234836506)	(30, 0.3645504247286705)	(31, 0.41212341128903807)	(32, 0.4353297461965345)	(33, 0.4572702810181674)	(34, 0.47435858217732385)	(35, 0.4979868504467747)	(36, 0.5234083355045321)	(37, 0.5430282368354153)	(38, 0.5652852216785142)	(39, 0.5868038231381927)	(40, 0.6112759581315524)	(41, 0.6322671428887878)	(42, 0.6543131610509094)	(43, 0.678574329363292)	(44, 0.7028354976756745)	(45, 0.7280460160524548)	(46, 0.7508304175979966)	(47, 0.7764628693367313)	(48, 0.8006185543086253)	(49, 0.822348122449281)	(50, 0.8460818740592204)	(51, 0.8677059588593875)	(52, 0.8905958437454181)	(53, 0.9136966953124258)	(54, 0.9365865801984563)	(55, 0.9589490483820438)	(56, 0.980256683160745)	(57, 1.0014588345989577)	(58, 1.021606152632284)	(59, 1.0409096039417014)	(60, 1.0608459552940506)	(61, 1.0827864901156836)	(62, 1.105148958299271)	(63, 1.127089493120904)	(64, 1.1479751945376506)	(65, 1.169282829316352)	(66, 1.1942823810121548)	(67, 1.2148516324074357)	(68, 1.2380579673149321)	(69, 1.2607368855199854)	(70, 1.2826774203416182)	(71, 1.3064111719515579)	(72, 1.3300394402210087)	(73, 1.352718358426062)	(74, 1.3784562935052853)	(75, 1.4049326119679288)	(76, 1.4342569806237653)	(77, 1.4608387824268974)	(78, 1.4879480009324728)	(79, 1.5141078693736505)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001 - polyg	(1, 0.2037938138240137)	(2, 0.20759121408160403)	(3, 0.20769669742209265)	(4, 0.20780218076258125)	(5, 0.20790766410306988)	(6, 0.20790766410306988)	(7, 0.2080131474435585)	(8, 0.2085405641460016)	(9, 0.2090679808484447)	(10, 0.20917346418893332)	(11, 0.20938443086991057)	(12, 0.20970088089137642)	(13, 0.21054474761528538)	(14, 0.210650230955774)	(15, 0.210650230955774)	(16, 0.2110721643177285)	(17, 0.2111776476582171)	(18, 0.2111776476582171)	(19, 0.2117050643606602)	(20, 0.21181054770114882)	(21, 0.21212699772261467)	(22, 0.212865381106035)	(23, 0.21328731446798949)	(24, 0.21360376448945537)	(25, 0.21360376448945537)	(26, 0.21402569785140985)	(27, 0.21423666453238707)	(28, 0.2149750479158074)	(29, 0.21529149793727329)	(30, 0.21581891463971636)	(31, 0.21613536466118224)	(32, 0.2164518146826481)	(33, 0.21687374804460258)	(34, 0.21740116474704568)	(35, 0.21750664808753428)	(36, 0.21813954813046602)	(37, 0.21845599815193187)	(38, 0.2190888981948636)	(39, 0.21940534821632945)	(40, 0.21982728157828393)	(41, 0.2202492149402384)	(42, 0.2206711483021929)	(43, 0.2217259817070791)	(44, 0.22225339840952218)	(45, 0.2227808151119653)	(46, 0.2233082318144084)	(47, 0.22404661519782873)	(48, 0.22467951524076046)	(49, 0.22531241528369217)	(50, 0.22583983198613528)	(51, 0.22615628200760113)	(52, 0.22689466539102146)	(53, 0.2280549821363963)	(54, 0.22900433220079386)	(55, 0.23005916560568007)	(56, 0.2307975489891004)	(57, 0.23153593237252074)	(58, 0.2329072157988728)	(59, 0.23396204920375901)	(60, 0.23480591592766797)	(61, 0.23586074933255416)	(62, 0.2364936493754859)	(63, 0.23733751609939485)	(64, 0.2381813828233038)	(65, 0.24008008295209896)	(66, 0.24124039969747377)	(67, 0.2428226498048031)	(68, 0.2451432832955527)	(69, 0.246725533402882)	(70, 0.24788585014825684)	(71, 0.249784550277052)	(72, 0.2513668003843813)	(73, 0.2534764671941537)	(74, 0.25537516732294885)	(75, 0.2574848341327213)	(76, 0.2591725675805392)	(77, 0.260332884325914)	(78, 0.2627590011571522)	(79, 0.2650796346479019)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001 - polya	(1, 0.011189011968020537)	(2, 0.023116920952797146)	(3, 0.03493927322089432)	(4, 0.04802830608914476)	(5, 0.05963954492388305)	(6, 0.07272857779213349)	(7, 0.08117311512648862)	(8, 0.09088433306099701)	(9, 0.10239001517905585)	(10, 0.11389569729711471)	(11, 0.12455692568173805)	(12, 0.13321257644945206)	(13, 0.14302935110063988)	(14, 0.15886285860255575)	(15, 0.17195189147080617)	(16, 0.18546315120577436)	(17, 0.19812995720730706)	(18, 0.20995230947540422)	(19, 0.22082465129338644)	(20, 0.23370257072827802)	(21, 0.24489158269629854)	(22, 0.25766394541451065)	(23, 0.272652999182991)	(24, 0.2866920425013564)	(25, 0.3015755395531573)	(26, 0.3169868201883554)	(27, 0.33007585305660586)	(28, 0.3447482366750479)	(29, 0.3616373113437581)	(30, 0.3805319636293777)	(31, 0.4292991667352785)	(32, 0.45642724292189435)	(33, 0.47637746237430834)	(34, 0.4954832280932868)	(35, 0.5190223759128018)	(36, 0.5438282043324699)	(37, 0.5669451252852671)	(38, 0.5910120566881791)	(39, 0.6140234209242968)	(40, 0.6389348060606445)	(41, 0.6608906031299677)	(42, 0.6845353076661621)	(43, 0.7091300226524714)	(44, 0.7329858406220247)	(45, 0.7563138750081806)	(46, 0.7819641571612843)	(47, 0.8089866766312207)	(48, 0.8350591856510422)	(49, 0.8583872200371981)	(50, 0.8839319454736224)	(51, 0.9057821858262664)	(52, 0.9258379619953597)	(53, 0.948743769514798)	(54, 0.9714384636008774)	(55, 0.9942387144036362)	(56, 1.016511181622998)	(57, 1.036989184658809)	(58, 1.0575727444112997)	(59, 1.0791063146139053)	(60, 1.101906565416664)	(61, 1.1227012386025135)	(62, 1.1429681282049657)	(63, 1.163235017807418)	(64, 1.1843463611433058)	(65, 1.2059854880625909)	(66, 1.2286801821486704)	(67, 1.2501081956345965)	(68, 1.2724862195706375)	(69, 1.2946531300733197)	(70, 1.3178756077427962)	(71, 1.3415203122789907)	(72, 1.3682261615988887)	(73, 1.3939820004686718)	(74, 1.417837818438225)	(75, 1.444015884174726)	(76, 1.4710384036446622)	(77, 1.5004887275982257)	(78, 1.5300446082684687)	(79, 1.5625560770057358)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001 - polyg	(1, 0.19992442139085753)	(2, 0.20298556617456126)	(3, 0.20298556617456126)	(4, 0.2030911228912407)	(5, 0.203407793041279)	(6, 0.2036189064746379)	(7, 0.20404113334135565)	(8, 0.2046744736414323)	(9, 0.2049911437914706)	(10, 0.20520225722482946)	(11, 0.20562448409154724)	(12, 0.20573004080822666)	(13, 0.20625782439162385)	(14, 0.20646893782498274)	(15, 0.20646893782498274)	(16, 0.20657449454166218)	(17, 0.20657449454166218)	(18, 0.20668005125834163)	(19, 0.20699672140837994)	(20, 0.20699672140837994)	(21, 0.20710227812505938)	(22, 0.20731339155841824)	(23, 0.2074189482750977)	(24, 0.20752450499177713)	(25, 0.20763006170845658)	(26, 0.20763006170845658)	(27, 0.20784117514181544)	(28, 0.20847451544189208)	(29, 0.20868562887525097)	(30, 0.20889674230860983)	(31, 0.20889674230860983)	(32, 0.20942452589200702)	(33, 0.20974119604204536)	(34, 0.2101634229087631)	(35, 0.210374536342122)	(36, 0.210374536342122)	(37, 0.2109023199255192)	(38, 0.2112189900755575)	(39, 0.21164121694227525)	(40, 0.2122745572423519)	(41, 0.2125912273923902)	(42, 0.2131190109757874)	(43, 0.21375235127586403)	(44, 0.21406902142590234)	(45, 0.21459680500929953)	(46, 0.21491347515933787)	(47, 0.21544125874273506)	(48, 0.21649682590952946)	(49, 0.21681349605956776)	(50, 0.2174468363596444)	(51, 0.21839684680975935)	(52, 0.21913574382651543)	(53, 0.21976908412659205)	(54, 0.22093020801006588)	(55, 0.2223024453268986)	(56, 0.2236746826437313)	(57, 0.22462469309384625)	(58, 0.22599693041067898)	(59, 0.22694694086079392)	(60, 0.22831917817762662)	(61, 0.229374745344421)	(62, 0.23000808564449765)	(63, 0.23138032296133035)	(64, 0.23243589012812474)	(65, 0.23359701401159857)	(66, 0.23486369461175183)	(67, 0.2366581587953023)	(68, 0.23845262297885278)	(69, 0.24066931402912098)	(70, 0.24225266477931257)	(71, 0.24404712896286304)	(72, 0.24541936627969574)	(73, 0.24668604687984902)	(74, 0.24900829464679666)	(75, 0.2502749752469499)	(76, 0.251963882713821)	(77, 0.2529138931639359)	(78, 0.25407501704740976)	(79, 0.25597503794763965)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001 - polya	(1, 0.010519448228376159)	(2, 0.02475789330516813)	(3, 0.034533542163861126)	(4, 0.04728438850128677)	(5, 0.06003523483871242)	(6, 0.07012965485584105)	(7, 0.07756764855267269)	(8, 0.0877683256226132)	(9, 0.09775648858692995)	(10, 0.10965727850186056)	(11, 0.11900789914930604)	(12, 0.1294210903248703)	(13, 0.14238445076791972)	(14, 0.15513529710534538)	(15, 0.1674611152315235)	(16, 0.17914939104083033)	(17, 0.19041263863888966)	(18, 0.2019946573953846)	(19, 0.2129391338350083)	(20, 0.22494618080275078)	(21, 0.2352531149255032)	(22, 0.24747267599886943)	(23, 0.26054229349473074)	(24, 0.2742494533074633)	(25, 0.28700029964488893)	(26, 0.30240757230261156)	(27, 0.31600847506253227)	(28, 0.3325845753011856)	(29, 0.3489481614342152)	(30, 0.36934951557409623)	(31, 0.41312742133259095)	(32, 0.43979794158837293)	(33, 0.4600930386754421)	(34, 0.48198199155468946)	(35, 0.5039772014867487)	(36, 0.527672524263798)	(37, 0.5490301918789859)	(38, 0.5733630569729066)	(39, 0.596952122697144)	(40, 0.6196911319988865)	(41, 0.6424301413006288)	(42, 0.6676130628170445)	(43, 0.6930084984390839)	(44, 0.7207415892229847)	(45, 0.7477308806372023)	(46, 0.7741888867873605)	(47, 0.8014969493600138)	(48, 0.8262548426651819)	(49, 0.8494188801781718)	(50, 0.8753456010642706)	(51, 0.8982971244716368)	(52, 0.9216736760902505)	(53, 0.9433501148638741)	(54, 0.9700206351196561)	(55, 0.9922283591573391)	(56, 1.0149673684590814)	(57, 1.0348374373349032)	(58, 1.0566201331613385)	(59, 1.0795716565687048)	(60, 1.0975290984939126)	(61, 1.1181429667394174)	(62, 1.1376942644568033)	(63, 1.1589456750191793)	(64, 1.1792407721062486)	(65, 1.2059112923620305)	(66, 1.2298191292447036)	(67, 1.2512830539127036)	(68, 1.2707280945772776)	(69, 1.2909169346115348)	(70, 1.319075053606683)	(71, 1.344045461017475)	(72, 1.3701846960091977)	(73, 1.394730075208742)	(74, 1.419594225566722)	(75, 1.4447771470831376)	(76, 1.4720852096557908)	(77, 1.5015184132846817)	(78, 1.5301015604910777)	(79, 1.5577283942221665)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001 - polyg	(1, 0.20496985487411726)	(2, 0.20879510877534496)	(3, 0.20922013698659248)	(4, 0.20943265109221623)	(5, 0.20985767930346377)	(6, 0.21038896456752318)	(7, 0.21038896456752318)	(8, 0.21092024983158258)	(9, 0.2113452780428301)	(10, 0.2118765633068895)	(11, 0.21198282035970137)	(12, 0.21198282035970137)	(13, 0.2124078485709489)	(14, 0.2129391338350083)	(15, 0.21304539088782018)	(16, 0.21336416204625583)	(17, 0.2134704190990677)	(18, 0.2134704190990677)	(19, 0.21389544731031523)	(20, 0.214107961415939)	(21, 0.21421421846875086)	(22, 0.2144267325743746)	(23, 0.2144267325743746)	(24, 0.2146392466799984)	(25, 0.21495801783843402)	(26, 0.2150642748912459)	(27, 0.2150642748912459)	(28, 0.21591433131374094)	(29, 0.21633935952498848)	(30, 0.216764387736236)	(31, 0.21697690184185975)	(32, 0.21761444415873105)	(33, 0.21814572942279042)	(34, 0.21878327173966172)	(35, 0.2188895287924736)	(36, 0.219420814056533)	(37, 0.22016461342621615)	(38, 0.22027087047902805)	(39, 0.2205896416374637)	(40, 0.22080215574308745)	(41, 0.22154595511277062)	(42, 0.22197098332401813)	(43, 0.22250226858807753)	(44, 0.22303355385213694)	(45, 0.2237773532218201)	(46, 0.22420238143306762)	(47, 0.22505243785556267)	(48, 0.2259024942780577)	(49, 0.22675255070055275)	(50, 0.22792137828148343)	(51, 0.2286651776511666)	(52, 0.2297277481792854)	(53, 0.23121534691865173)	(54, 0.23217166039395865)	(55, 0.23334048797488932)	(56, 0.23408428734457248)	(57, 0.23546562903112694)	(58, 0.23642194250643386)	(59, 0.23695322777049327)	(60, 0.23812205535142394)	(61, 0.238972111773919)	(62, 0.23992842524922592)	(63, 0.2417347951470279)	(64, 0.24258485156952292)	(65, 0.24343490799201797)	(66, 0.2448162496785724)	(67, 0.24619759136512687)	(68, 0.24747267599886943)	(69, 0.24917278884385952)	(70, 0.25129792990009714)	(71, 0.25267927158665154)	(72, 0.2538480991675823)	(73, 0.25597324022381984)	(74, 0.2569295536991268)	(75, 0.2589484377025525)	(76, 0.2604360364419188)	(77, 0.26192363518128514)	(78, 0.26362374802627525)	(79, 0.26468631855439406)
