Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	(1, 36.145895063063215)	(2, 35.97824828035784)	(3, 36.443368631575176)	(4, 36.082925728125126)	(5, 29.186264592301615)	(6, 34.64637343001233)	(7, 32.35618454099452)	(8, 36.03231904069231)	(9, 35.90635505481442)	(10, 35.01971483633732)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	(1, 36.04710885986222)	(2, 26.165672134571427)	(3, 34.42687736612318)	(4, 35.84744682848514)	(5, 33.85593401806086)	(6, 35.64171001152933)	(7, 35.53595663368906)	(8, 34.313923695461156)	(9, 36.34099915929777)	(10, 35.64861706066453)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	(1, 35.61909649299538)	(2, 35.81274069979758)	(3, 35.95816425232881)	(4, 35.98976284180558)	(5, 35.99015102049858)	(6, 35.97296778433298)	(7, 35.98685783060852)	(8, 36.09383903453208)	(9, 36.032274737689306)	(10, 35.982724993328176)	(11, 35.9740078500702)	(12, 35.936770121210905)	(13, 35.95843007034684)	(14, 35.928280821968386)	(15, 35.89830667593514)	(16, 35.89131313046074)	(17, 35.832624309479684)	(18, 35.826691926410604)	(19, 35.78361674948867)	(20, 35.766502077494394)	(21, 35.784093534187676)	(22, 35.77867590982018)	(23, 35.74921546765511)	(24, 35.72854706191978)	(25, 35.7688997138237)	(26, 35.69182725626228)	(27, 35.73455011882698)	(28, 35.740089049036044)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	(1, 35.294122362784634)	(2, 35.59112758526482)	(3, 35.90307874225884)	(4, 35.66106409484218)	(5, 35.77895649550588)	(6, 35.91193301385945)	(7, 35.58076595672863)	(8, 35.81906337122646)	(9, 35.82236921911738)	(10, 35.53889012538804)	(11, 35.53102634235462)	(12, 35.508573158498216)	(13, 35.50549304495595)	(14, 35.57841367823573)	(15, 35.51735992076092)	(16, 35.767036878030666)	(17, 35.84307981818891)	(18, 35.54632353639228)	(19, 35.55728431030245)	(20, 35.81234197277053)	(21, 35.55727587163521)	(22, 35.79129066250922)	(23, 35.479777261378224)	(24, 35.45860148077514)	(25, 35.53113393536192)	(26, 35.42080469021125)	(27, 35.42536368018717)	(28, 35.964906747452844)	(29, 35.80109744867444)	(30, 35.938905104022396)	(31, 35.8174726824519)	(32, 35.53208539509313)	(33, 35.458019212735636)	(34, 35.45614160927494)	(35, 35.40699481127448)	(36, 35.5787744312602)	(37, 35.62442551135686)	(38, 35.46468997918814)	(39, 35.43235933532838)	(40, 35.43646791144041)	(41, 35.395727080843486)	(42, 35.41888700308117)	(43, 35.431767573788235)	(44, 35.39626504587998)	(45, 35.414047427419554)	(46, 35.372086154573175)	(47, 35.35635753367292)	(48, 35.32773673889814)	(49, 35.32005122271014)	(50, 35.350120303749826)	(51, 35.36604406882999)	(52, 35.24164334605814)	(53, 35.290250069355295)	(54, 35.285975884398695)	(55, 35.237902906804415)	(56, 35.163743899107295)	(57, 35.27461638346148)	(58, 35.049597211864345)	(59, 35.25634666888885)	(60, 35.14257761200485)	(61, 35.019496485822515)	(62, 35.115611850842335)	(63, 35.095927604673754)	(64, 35.23939655090573)	(65, 35.078791836011376)	(66, 35.049674214702904)	(67, 35.133978610088214)	(68, 35.4248742374873)	(69, 35.0029366561992)	(70, 35.02604383676664)	(71, 34.93851165116237)	(72, 34.969544849934124)	(73, 34.93547584062311)	(74, 35.04282201690476)	(75, 34.88656110597173)	(76, 34.90838771878563)	(77, 34.88621512061493)	(78, 34.81849059668761)	(79, 34.983101568853726)	(80, 34.896497636645755)	(81, 34.89164751265009)	(82, 34.811997042247135)	(83, 35.01893425961771)	(84, 34.86848337107879)	(85, 35.03161968614487)	(86, 34.71805357920797)	(87, 34.76871089864422)	(88, 35.00990277600507)	(89, 34.638493824477834)	(90, 34.46597054694167)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	(1, 36.102835464523444)	(2, 35.91386783032391)	(3, 36.431849417010255)	(4, 36.0153859470232)	(5, 29.172719288801066)	(6, 34.55102928354434)	(7, 32.225190477095246)	(8, 35.982412139866874)	(9, 35.85171392440873)	(10, 34.927808705895764)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	(1, 35.97210347091596)	(2, 27.635213931797693)	(3, 34.64038515534782)	(4, 35.84213148566857)	(5, 34.11574505097334)	(6, 35.767847001872575)	(7, 35.52817519881608)	(8, 34.397342926327745)	(9, 36.3512378636165)	(10, 35.70176110826108)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	(1, 35.58759307463493)	(2, 35.80266171816779)	(3, 35.94273125893274)	(4, 35.966644077529295)	(5, 35.95572106848731)	(6, 35.936931972918366)	(7, 35.947776869990015)	(8, 36.0862145039151)	(9, 36.01588206359159)	(10, 35.955742179830644)	(11, 35.939410444626)	(12, 35.90632896961866)	(13, 35.91979167326396)	(14, 35.91248081506674)	(15, 35.86433639658925)	(16, 35.867878880001015)	(17, 35.783441951194796)	(18, 35.79235516035121)	(19, 35.75463130094431)	(20, 35.731484824110844)	(21, 35.75386707031555)	(22, 35.7368998836765)	(23, 35.7068563309752)	(24, 35.70104121145333)	(25, 35.73683654964649)	(26, 35.68434741671047)	(27, 35.71617698905799)	(28, 35.70851357142706)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	(1, 35.4328142054007)	(2, 35.63222456558133)	(3, 35.9267457497588)	(4, 35.70763533954429)	(5, 35.8190420094621)	(6, 35.90691058712757)	(7, 35.591575729555245)	(8, 35.8233782793833)	(9, 35.83771077037403)	(10, 35.55781869156116)	(11, 35.55682434729004)	(12, 35.52428543380644)	(13, 35.52545711336158)	(14, 35.586449895393294)	(15, 35.54968871324251)	(16, 35.76229049630657)	(17, 35.855490743731515)	(18, 35.57555644223198)	(19, 35.57835475079115)	(20, 35.817724661637946)	(21, 35.59140683880856)	(22, 35.7944631279833)	(23, 35.492229970085226)	(24, 35.49273242005662)	(25, 35.55835914195056)	(26, 35.454197885065625)	(27, 35.45075251383321)	(28, 35.96503961543577)	(29, 35.804777074770044)	(30, 35.92683441740081)	(31, 35.82074569486931)	(32, 35.5600427715816)	(33, 35.47181213437792)	(34, 35.47787847888549)	(35, 35.442504311991875)	(36, 35.578165804268295)	(37, 35.62743123507692)	(38, 35.48326820483914)	(39, 35.456467354474235)	(40, 35.458916270301195)	(41, 35.433814883074824)	(42, 35.439016718072786)	(43, 35.46389643619413)	(44, 35.418707605783666)	(45, 35.44017467525476)	(46, 35.37938878438774)	(47, 35.40043784926079)	(48, 35.370263406230805)	(49, 35.3551001838798)	(50, 35.38053196362938)	(51, 35.38962884147281)	(52, 35.28882006590961)	(53, 35.303493505095226)	(54, 35.305637362010984)	(55, 35.284460573510756)	(56, 35.203283236115595)	(57, 35.312344435788795)	(58, 35.09462737423445)	(59, 35.27729327244822)	(60, 35.181483662986956)	(61, 35.0584277538164)	(62, 35.15694594862766)	(63, 35.12491054068261)	(64, 35.26443013095366)	(65, 35.1319458958493)	(66, 35.079872656377)	(67, 35.167461508743266)	(68, 35.438417155922046)	(69, 35.0418279045514)	(70, 35.05334730904262)	(71, 34.99519294712242)	(72, 35.02271158316075)	(73, 34.99895498850487)	(74, 35.07339147397288)	(75, 34.92874077170404)	(76, 34.969110937998096)	(77, 34.92948389098947)	(78, 34.88061007559972)	(79, 35.007914642616626)	(80, 34.93374204894032)	(81, 34.93864726956441)	(82, 34.87560140939328)	(83, 35.050648223797126)	(84, 34.9121261444987)	(85, 35.06609328258166)	(86, 34.76376195693708)	(87, 34.82691759609356)	(88, 35.04974465830235)	(89, 34.68519820384691)	(90, 34.519303156779166)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	(1, 36.094040679450096)	(2, 35.91468621229734)	(3, 36.431006233038715)	(4, 36.00745286968422)	(5, 29.16305676039247)	(6, 34.5226125634089)	(7, 32.312865391440354)	(8, 35.98968881559514)	(9, 35.82931079550405)	(10, 34.92330472185091)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	(1, 35.9794392602809)	(2, 27.077915109115366)	(3, 34.462700586751446)	(4, 35.813025839590104)	(5, 33.983838302267316)	(6, 35.73773846739077)	(7, 35.503238714969704)	(8, 34.32213313158661)	(9, 36.3309375909826)	(10, 35.68255174187187)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	(1, 35.551212711743744)	(2, 35.779885327388605)	(3, 35.92191594217066)	(4, 35.94965753351879)	(5, 35.9474813890772)	(6, 35.921986071825515)	(7, 35.936976816836214)	(8, 36.060575020666995)	(9, 35.97646831308428)	(10, 35.942825205022984)	(11, 35.93226962939665)	(12, 35.886479215057896)	(13, 35.91586779072461)	(14, 35.903735360434545)	(15, 35.85979169367367)	(16, 35.85381154674141)	(17, 35.783195234583694)	(18, 35.77556385305075)	(19, 35.72931228310279)	(20, 35.72567191647346)	(21, 35.729777688994105)	(22, 35.720709712107144)	(23, 35.68797828955897)	(24, 35.69928403997815)	(25, 35.73041310616992)	(26, 35.64404524850337)	(27, 35.6810375788693)	(28, 35.7046138937472)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	(1, 35.34256211256022)	(2, 35.5804291509849)	(3, 35.88467709544221)	(4, 35.65222279128777)	(5, 35.76275031505216)	(6, 35.88757791298397)	(7, 35.57236742838806)	(8, 35.79933036805318)	(9, 35.8252390252403)	(10, 35.50721272874487)	(11, 35.51860454737683)	(12, 35.496537082648864)	(13, 35.485525664265964)	(14, 35.56218056473499)	(15, 35.5135509619451)	(16, 35.75253688713588)	(17, 35.82730466234696)	(18, 35.54450257885867)	(19, 35.543088297485745)	(20, 35.781351674717406)	(21, 35.5487698620996)	(22, 35.77800989040647)	(23, 35.478156737653464)	(24, 35.45434665725938)	(25, 35.52089651200598)	(26, 35.424475674572896)	(27, 35.433005990772635)	(28, 35.954341344406735)	(29, 35.7615804249007)	(30, 35.91515161818866)	(31, 35.78554776573295)	(32, 35.51600231215347)	(33, 35.4395418620911)	(34, 35.44028247374919)	(35, 35.394164787687785)	(36, 35.55048485093198)	(37, 35.60785834659776)	(38, 35.462029042177676)	(39, 35.40633759565791)	(40, 35.42056860274101)	(41, 35.383952422342034)	(42, 35.40740122875656)	(43, 35.42805759982319)	(44, 35.383052425104715)	(45, 35.399966422771314)	(46, 35.355044128554034)	(47, 35.36719781025466)	(48, 35.33058375499674)	(49, 35.31243930065858)	(50, 35.35371910310547)	(51, 35.371628729356914)	(52, 35.24580869055183)	(53, 35.26069424108025)	(54, 35.28442144097315)	(55, 35.23536149711937)	(56, 35.16297494246181)	(57, 35.268231053836196)	(58, 35.06175978680585)	(59, 35.25141056237608)	(60, 35.14352777665618)	(61, 35.01666535616302)	(62, 35.119950399207745)	(63, 35.09122486755059)	(64, 35.22033674985177)	(65, 35.07478158862794)	(66, 35.044394196664804)	(67, 35.13617053831948)	(68, 35.412079726791866)	(69, 34.98790157196684)	(70, 35.01219405938069)	(71, 34.93377635440552)	(72, 34.97674033113948)	(73, 34.944625199497615)	(74, 35.02419048064315)	(75, 34.88146175702412)	(76, 34.94128129004563)	(77, 34.90668080593849)	(78, 34.83461621015095)	(79, 34.950813610253384)	(80, 34.89214909139594)	(81, 34.87282837148316)	(82, 34.819073991036156)	(83, 35.00969701863961)	(84, 34.8743000316646)	(85, 35.028905106076415)	(86, 34.7080906245152)	(87, 34.77825321905741)	(88, 35.00161510720274)	(89, 34.63265449244194)	(90, 34.46868285882476)
