Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R1_001	(1, 35.73039673363283)	(2, 35.98224597240414)	(3, 36.007421437259424)	(4, 36.089349920377295)	(5, 36.0953146682721)	(6, 36.09571528566802)	(7, 36.103042132708964)	(8, 36.235150170318036)	(9, 36.18733870976716)	(10, 36.14893508106382)	(11, 36.17101132523122)	(12, 36.150159189773575)	(13, 36.16601696169541)	(14, 36.16684935561805)	(15, 36.15258069936669)	(16, 36.16743804062483)	(17, 36.14357571056728)	(18, 36.180245556207176)	(19, 36.175133233104795)	(20, 36.18389117451005)	(21, 36.199370585557965)	(22, 36.1881555241244)	(23, 36.19257566939272)	(24, 36.18329024841617)	(25, 36.19388880419046)	(26, 36.118739657672435)	(27, 36.0592034613343)	(28, 36.0622203328908)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L003_R2_001	(1, 36.315373803851045)	(2, 36.007034173776695)	(3, 36.07216120844012)	(4, 36.207997213483445)	(5, 36.36497023746596)	(6, 36.05957848372993)	(7, 35.62192178390475)	(8, 35.92005346016583)	(9, 35.96556804764676)	(10, 35.86920398436257)	(11, 36.07389944280797)	(12, 36.015540616483406)	(13, 36.14875257758345)	(14, 36.232748691594715)	(15, 36.455761267642465)	(16, 36.369285777080904)	(17, 36.10876651016622)	(18, 36.09188938953699)	(19, 36.20995690024515)	(20, 35.963117604575054)	(21, 36.25149536007158)	(22, 36.07509016673473)	(23, 35.69650450193799)	(24, 36.070012341241444)	(25, 35.91841983145136)	(26, 35.78991512475337)	(27, 34.99316947339956)	(28, 36.20130690297158)	(29, 36.066374512721275)	(30, 36.148287416273746)	(31, 36.118922161152796)	(32, 36.035315536276464)	(33, 35.94904480571726)	(34, 35.87300762397161)	(35, 35.950493705299166)	(36, 36.027136264443094)	(37, 36.05955734003403)	(38, 35.99803363628169)	(39, 35.970457805529186)	(40, 35.91953265755114)	(41, 36.00911293293108)	(42, 35.94749575178636)	(43, 35.88364957996379)	(44, 35.807289678649205)	(45, 35.78672242667311)	(46, 35.66407563656435)	(47, 35.444301384466954)	(48, 35.644564456556935)	(49, 35.634441077527256)	(50, 35.65951193672916)	(51, 35.72680007967835)	(52, 35.04800843077053)	(53, 35.06629105076379)	(54, 35.47231233022447)	(55, 35.954922753176284)	(56, 35.94716190395643)	(57, 35.6247138645891)	(58, 35.74339899378264)	(59, 35.75948823353323)	(60, 35.97734842473901)	(61, 35.914389175317964)	(62, 35.871062403949196)	(63, 35.82707016257277)	(64, 35.62648103243554)	(65, 35.88434509627615)	(66, 35.77030712887528)	(67, 35.85903943076719)	(68, 35.83282569916082)	(69, 35.882277465382764)	(70, 35.58624457914586)	(71, 35.679366980001404)	(72, 36.046826609452566)	(73, 35.99108960141908)	(74, 35.76219573943399)	(75, 35.79449329132786)	(76, 35.55431203421273)	(77, 35.17054059979101)	(78, 35.563185709532355)	(79, 35.587078085894596)	(80, 35.86883897740184)	(81, 35.65910352955054)	(82, 35.156576857891)	(83, 35.548678908495646)	(84, 35.54988743764001)	(85, 35.519343699679396)	(86, 35.5996129590825)	(87, 35.7089915236036)	(88, 35.84918869413195)	(89, 35.46584681058476)	(90, 35.25607797795046)
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I1_001	(1, 35.33883977026546)	(2, 36.265500929396616)	(3, 27.048089134189052)	(4, 36.025139848923615)	(5, 36.231564769935886)	(6, 34.60769575553573)	(7, 36.241761766864265)	(8, 35.85776716307725)	(9, 36.12762834681654)	(10, 36.059233104975675)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_I2_001	(1, 28.82480544191381)	(2, 34.63477349527832)	(3, 34.32747278823379)	(4, 35.739373459244966)	(5, 35.14426300825691)	(6, 35.183842560652465)	(7, 36.17441237086221)	(8, 34.97870517254259)	(9, 36.33299863336951)	(10, 35.93102031489627)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R1_001	(1, 35.70093313178097)	(2, 35.96776883291514)	(3, 35.979120434860945)	(4, 36.075353632117135)	(5, 36.079473297973784)	(6, 36.08083992846063)	(7, 36.09155215826548)	(8, 36.215646381065795)	(9, 36.164081347471296)	(10, 36.12558938686189)	(11, 36.15747669916991)	(12, 36.132657634894336)	(13, 36.15749207925578)	(14, 36.158748851986445)	(15, 36.153281231461506)	(16, 36.15464017190542)	(17, 36.14420148791345)	(18, 36.15841488440767)	(19, 36.15868733164299)	(20, 36.177013802528485)	(21, 36.17296664279091)	(22, 36.17023777612747)	(23, 36.17912966291246)	(24, 36.18310431653096)	(25, 36.192011583401815)	(26, 36.09507529650608)	(27, 36.03535442309298)	(28, 36.046478619483494)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_crispr_S4_L004_R2_001	(1, 36.26877798626339)	(2, 35.981249478175656)	(3, 36.03210043635501)	(4, 36.18727891126569)	(5, 36.33133538694099)	(6, 36.02197484696815)	(7, 35.5783780161447)	(8, 35.90719436473654)	(9, 35.94425817451564)	(10, 35.822926874283176)	(11, 36.04804299393146)	(12, 35.9810011996467)	(13, 36.12966730677119)	(14, 36.209788765506424)	(15, 36.43417762680881)	(16, 36.34325715064135)	(17, 36.0737453145667)	(18, 36.083087618152014)	(19, 36.18871255498381)	(20, 35.92439918793146)	(21, 36.2243624954409)	(22, 36.04704438692781)	(23, 35.65279785733432)	(24, 36.02049835872512)	(25, 35.88684431398226)	(26, 35.763689374997256)	(27, 34.972181818980786)	(28, 36.1882874054674)	(29, 36.031377572319364)	(30, 36.11515509718017)	(31, 36.07537560366837)	(32, 36.00913686958127)	(33, 35.90374263403745)	(34, 35.833165617158905)	(35, 35.91991589290187)	(36, 36.016445706099745)	(37, 36.036002583854426)	(38, 35.97458990099619)	(39, 35.9466904252374)	(40, 35.88740019422851)	(41, 35.978311881775475)	(42, 35.91558530015336)	(43, 35.84844463388804)	(44, 35.77102897168746)	(45, 35.74910356070959)	(46, 35.629342127812905)	(47, 35.43749752820049)	(48, 35.610968418092256)	(49, 35.59539058826631)	(50, 35.63274552109928)	(51, 35.69266963136131)	(52, 35.020595033550556)	(53, 35.0195217232727)	(54, 35.43113236980757)	(55, 35.90674834224646)	(56, 35.903914012137086)	(57, 35.586500898636444)	(58, 35.72033401152188)	(59, 35.73378719234336)	(60, 35.961889245804535)	(61, 35.90216507665874)	(62, 35.844919298492314)	(63, 35.808238892282276)	(64, 35.57981056128525)	(65, 35.85696849718984)	(66, 35.732720473530875)	(67, 35.835334209265845)	(68, 35.801890212552784)	(69, 35.861620973163944)	(70, 35.5696586060369)	(71, 35.63859874234841)	(72, 36.04012884117645)	(73, 35.95514068384256)	(74, 35.72833495190427)	(75, 35.759916859650126)	(76, 35.5562262981891)	(77, 35.14794104593373)	(78, 35.52959128520392)	(79, 35.5327529914267)	(80, 35.84211023566686)	(81, 35.63255327002597)	(82, 35.13456256838645)	(83, 35.52695250190054)	(84, 35.5031353403613)	(85, 35.480180562208055)	(86, 35.54636656457219)	(87, 35.68618253085904)	(88, 35.835411109695166)	(89, 35.41884368120158)	(90, 35.19013741008143)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I1_001	(1, 36.085149539590915)	(2, 35.92089819784253)	(3, 36.3584831574567)	(4, 36.025428665933994)	(5, 29.123858046755796)	(6, 34.437398235187416)	(7, 32.21960499781266)	(8, 35.95184430383799)	(9, 35.84607291855614)	(10, 34.89198472060691)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_I2_001	(1, 36.01356366235956)	(2, 26.868167219726637)	(3, 34.50228017199987)	(4, 35.76973570491138)	(5, 33.8751240383692)	(6, 35.66556054672912)	(7, 35.436139179052724)	(8, 34.3216514975299)	(9, 36.317665197767845)	(10, 35.67690058791519)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R1_001	(1, 35.5029790548543)	(2, 35.74194577522647)	(3, 35.88884775023741)	(4, 35.90820947279692)	(5, 35.92034442654261)	(6, 35.902722975640465)	(7, 35.909754484053735)	(8, 36.034853447999915)	(9, 35.96134697666478)	(10, 35.906085082318796)	(11, 35.914877135327195)	(12, 35.855417675867734)	(13, 35.888509512275796)	(14, 35.86324089585045)	(15, 35.8223578493614)	(16, 35.80276565550944)	(17, 35.73850257679709)	(18, 35.73532292655862)	(19, 35.687158694422806)	(20, 35.66371997737967)	(21, 35.680225349708174)	(22, 35.670891262363824)	(23, 35.63407347339444)	(24, 35.60743483317506)	(25, 35.68257701048858)	(26, 35.591939906744486)	(27, 35.63290191099113)	(28, 35.65363259034795)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L001_R2_001	(1, 35.29469169129651)	(2, 35.55169919228348)	(3, 35.84529187695394)	(4, 35.58667961289359)	(5, 35.73594391865217)	(6, 35.848625174720716)	(7, 35.51927209483467)	(8, 35.755538246497586)	(9, 35.767836450742095)	(10, 35.47373374163741)	(11, 35.483763510846025)	(12, 35.44821864896875)	(13, 35.46868684713138)	(14, 35.528950822120976)	(15, 35.44972418134677)	(16, 35.71617673733741)	(17, 35.80465317271476)	(18, 35.49128156976558)	(19, 35.52197906552427)	(20, 35.76196049978127)	(21, 35.52779739866199)	(22, 35.75005068234441)	(23, 35.40687786088497)	(24, 35.42712198973549)	(25, 35.493799682034975)	(26, 35.370873123419514)	(27, 35.37706170442057)	(28, 35.918607355875416)	(29, 35.75287502267368)	(30, 35.87877850215)	(31, 35.765144418006635)	(32, 35.48501829899382)	(33, 35.4079235176748)	(34, 35.40710193019707)	(35, 35.35280033290298)	(36, 35.53449493710054)	(37, 35.567718014105694)	(38, 35.40736227739781)	(39, 35.36985520854451)	(40, 35.389086757503655)	(41, 35.34823892190651)	(42, 35.36584543485451)	(43, 35.39225573777488)	(44, 35.34526520203583)	(45, 35.38202644017883)	(46, 35.30587595096083)	(47, 35.31221817949019)	(48, 35.28592311221605)	(49, 35.27931840249251)	(50, 35.29635834017989)	(51, 35.32866059901196)	(52, 35.206933344714635)	(53, 35.210221828618984)	(54, 35.22414933686154)	(55, 35.182758399931714)	(56, 35.1072566447221)	(57, 35.23080739642129)	(58, 35.00509597635535)	(59, 35.20442803640593)	(60, 35.112117881798106)	(61, 34.94595128092957)	(62, 35.06564590646707)	(63, 35.03954823358692)	(64, 35.19736025010403)	(65, 35.04071552800333)	(66, 34.99948037259526)	(67, 35.094617001525805)	(68, 35.39525186457678)	(69, 34.94401254788148)	(70, 34.971805678556564)	(71, 34.90915589889139)	(72, 34.924153604848435)	(73, 34.8843460910575)	(74, 34.982953660332264)	(75, 34.85575057884572)	(76, 34.8741413343861)	(77, 34.82403090022514)	(78, 34.778273812699396)	(79, 34.951080334183374)	(80, 34.868326202238556)	(81, 34.846556268072256)	(82, 34.77793664173451)	(83, 34.9842233864342)	(84, 34.827515711526765)	(85, 34.9967445929941)	(86, 34.664051813360935)	(87, 34.720195047001205)	(88, 34.951112344085104)	(89, 34.59027539185455)	(90, 34.42165683251353)
